"site","plot","bg_activity","date","crop","treatment","per_activity","ratio","log_ratio","land_type"
"Agronomy Farm","1",133.28,"June 2021","W","C",3.15766678566469,42.2083801258163,3.74261878250781,"Agriculture"
"Agronomy Farm","2",188.44,"June 2021","W","B",1.59799876582606,117.922494078141,4.77002757881217,"Agriculture"
"Agronomy Farm","4",175.99,"June 2021","S","B",0.84466603978317,208.354535060007,5.33924112417829,"Agriculture"
"Agronomy Farm","5",117.88,"June 2021","S","C",0.25352879835928,464.9570414204,6.14194501727754,"Agriculture"
"Agronomy Farm","6",199.59,"June 2021","S","C",0.215892401525913,924.488303383127,6.8292403989171,"Agriculture"
"Agronomy Farm","7",197.96,"June 2021","W","B",0.182004000564488,1087.66839951883,6.99179160110705,"Agriculture"
"Agronomy Farm","8",129.87,"June 2021","W","C",0.569040866290782,228.226139269295,5.43033697630765,"Agriculture"
"Agronomy Farm","9",195.37,"June 2021","W","C",0.579594187962106,337.080674819971,5.82032229286006,"Agriculture"
"Agronomy Farm","11",217.51,"June 2021","S","B",0.700881462719786,310.337784018353,5.73766133013346,"Agriculture"
"Agronomy Farm","12",233,"June 2021","S","C",1.36052188021516,171.257811717921,5.14317009197304,"Agriculture"
"Agronomy Farm","13",131,"June 2021","S","C",1.64392345985199,79.6874083248345,4.37811158491863,"Agriculture"
"Agronomy Farm","14",86.03,"June 2021","S","C",2.70247758539789,31.8337515414891,3.46052709616126,"Agriculture"
"Agronomy Farm","16",178.33,"June 2021","W","B",1.59914205642486,111.516046547288,4.71416849576768,"Agriculture"
"Agronomy Farm","17",114.72,"June 2021","W","C",0.588077289550025,195.076399035541,5.27339127175997,"Agriculture"
"Agronomy Farm","18",95.4,"June 2021","W","C",1.06075091115632,89.9362885260266,4.49910151438065,"Agriculture"
"Agronomy Farm","19",113.28,"June 2021","S","C",1.70524086039532,66.4304982545038,4.19615626209315,"Agriculture"
"Agronomy Farm","20",152,"June 2021","S","C",0.479393708460724,317.067156529972,5.75911360169246,"Agriculture"
"Agronomy Farm","21",161.04,"June 2021","S","B",0.490850076294966,328.083885033821,5.79326932274077,"Agriculture"
"Agronomy Farm","22",130.8,"June 2021","W","C",0.236795497448143,552.375367815616,6.31422782933096,"Agriculture"
"Agronomy Farm","23",148.85,"June 2021","W","B",0.187273833005357,794.82540412222,6.67812247307856,"Agriculture"
"Agronomy Farm","24",132.64,"June 2021","W","C",1.96723800714632,67.4244801687255,4.21100815922559,"Agriculture"
"Allstar Mine 1","1",191.79,"June 2021","W","C",1.76140366307736,108.88475141747,4.69028999641999,"Mine"
"Allstar Mine 1","3",193.27,"June 2021","W","B",0.349153265254132,553.539145221305,6.31633247272165,"Mine"
"Allstar Mine 1","4",264.77,"June 2021","S","C",0.618381406108856,428.166172825371,6.0595113744955,"Mine"
"Allstar Mine 1","5",257.37,"June 2021","S","B",0.370208130304871,695.203532640011,6.54420465541124,"Mine"
"Allstar Mine 1","7",124.01,"June 2021","W","B",0.947587161565686,130.86922768677,4.87419856267281,"Mine"
"Allstar Mine 1","8",149.57,"June 2021","W","C",0.393390666567363,380.207291914456,5.94071660902469,"Mine"
"Allstar Mine 1","9",118.91,"June 2021","W","C",0.441746209035064,269.181710149235,5.59538665396629,"Mine"
"Allstar Mine 1","10",167.65,"June 2021","S","C",0.404367800114136,414.59779921319,6.02730889177049,"Mine"
"Allstar Mine 1","12",235.93,"June 2021","S","B",2.44071274544662,96.664386433901,4.57124504541938,"Mine"
"Allstar Mine 1","13",88.9,"June 2021","W","B",0.308571249103628,288.102019414468,5.66331465148788,"Mine"
"Allstar Mine 1","16",191.39,"June 2021","S","C",0.292584423863166,654.135983976742,6.48331525641341,"Mine"
"Allstar Mine 1","17",146.29,"June 2021","S","B",1.13127262979038,129.314540233424,4.86224773292349,"Mine"
"Allstar Mine 1","18",247.71,"June 2021","S","C",0.446657597400792,554.585887358648,6.31822168633546,"Mine"
"Allstar Mine 1","19",165.93,"June 2021","W","B",0.601766942853822,275.73797791732,5.61945105942189,"Mine"
"Allstar Mine 1","21",121.09,"June 2021","W","C",1.16952310898215,103.537928468456,4.63993800420828,"Mine"
"Allstar Mine 1","22",169,"June 2021","S","C",0.950856809798699,177.734437255361,5.18029051073134,"Mine"
"Allstar Mine 1","23",330.51,"June 2021","S","B",1.03377937502328,319.710383071394,5.76741553308422,"Mine"
"Allstar Mine 1","24",217.5,"June 2021","S","C",1.36882662430694,158.895214439683,5.06824495628414,"Mine"
"Allstar Mine 2","1",167.24,"June 2021","W","C",2.70890095108677,61.7372148409139,4.12288690696017,"Mine"
"Allstar Mine 2","2",160.32,"June 2021","W","B",1.4229705780865,112.665716683746,4.72442517497829,"Mine"
"Allstar Mine 2","4",207.6,"June 2021","S","B",1.63955246455112,126.619918842815,4.84118983416502,"Mine"
"Allstar Mine 2","5",176.35,"June 2021","S","C",3.52882529924015,49.9741372966162,3.91150561753844,"Mine"
"Allstar Mine 2","6",77.97,"June 2021","S","C",0.420160885449665,185.571771909598,5.22344171778077,"Mine"
"Allstar Mine 2","7",120.9,"June 2021","W","C",2.11586905577894,57.1396418269804,4.04549812844172,"Mine"
"Allstar Mine 2","8",212.88,"June 2021","W","B",1.10621508111838,192.439972690284,5.25978427491835,"Mine"
"Allstar Mine 2","9",100.9,"June 2021","W","C",0.970000595323812,104.020554715553,4.64458852110857,"Mine"
"Allstar Mine 2","10",170.94,"June 2021","S","B",1.47941216511889,115.545893179986,4.74966779459147,"Mine"
"Allstar Mine 2","11",215,"June 2021","S","C",1.28463088082935,167.363250571399,5.12016660331819,"Mine"
"Allstar Mine 2","12",92.14,"June 2021","S","C",1.0875646791483,84.7213979697806,4.43936820221674,"Mine"
"Allstar Mine 2","13",169.25,"June 2021","S","C",1.12542224523165,150.387999452741,5.01321861745955,"Mine"
"Allstar Mine 2","14",141.65,"June 2021","S","C",1.15980686601871,122.13240337699,4.80510572983151,"Mine"
"Allstar Mine 2","15",217.6,"June 2021","S","B",3.78993508076643,57.4152314915102,4.05030962511953,"Mine"
"Allstar Mine 2","16",144.13,"June 2021","W","B",1.94601462955956,74.0641914046765,4.30493216860017,"Mine"
"Allstar Mine 2","17",110.75,"June 2021","W","C",2.99403473011787,36.9902188795385,3.61065352308932,"Mine"
"Allstar Mine 2","18",103.06,"June 2021","W","C",1.98977079086301,51.7949104857954,3.94729189126831,"Mine"
"Goshen Road","1",166.3,"June 2021","S","C",1.20523011915177,137.981948307964,4.92712286723833,"Mine"
"Goshen Road","2",158.52,"June 2021","S","B",0.288160364770131,550.110353054464,6.31011890001783,"Mine"
"Goshen Road","3",129.34,"June 2021","S","C",1.230846737411,105.082132542397,4.65474225907655,"Mine"
"Goshen Road","4",175.84,"June 2021","W","C",0.544661685550836,322.842609760895,5.77716492818293,"Mine"
"Goshen Road","5",165.39,"June 2021","W","B",0.718011294289523,230.344566047049,5.43957630111908,"Mine"
"Goshen Road","6",108.06,"June 2021","W","C",0.152616389363261,708.049774017344,6.56251439350701,"Mine"
"Goshen Road","7",133.65,"June 2021","W","B",0.908252943119632,147.150637949979,4.99145681004201,"Mine"
"Goshen Road","8",57.17,"June 2021","W","C",1.45874884547299,39.1911192782903,3.6684501721071,"Mine"
"Goshen Road","9",136.35,"June 2021","W","C",1.41424723482396,96.4117140501054,4.56862770927673,"Mine"
"Goshen Road","10",110.05,"June 2021","S","C",0.107778129101632,1021.07914580912,6.92861533309285,"Mine"
"Goshen Road","11",113.08,"June 2021","S","B",0.818076243211438,138.226725122946,4.92889527268832,"Mine"
"Goshen Road","12",111.27,"June 2021","S","C",1.9166689667665,58.0538433758423,4.06137091397709,"Mine"
"Goshen Road","13",141.31,"June 2021","S","C",0.622475050217192,227.013114743626,5.42500779001353,"Mine"
"Goshen Road","15",194.87,"June 2021","S","C",0.96116171396877,202.744238735181,5.31194527698233,"Mine"
"Goshen Road","16",146.89,"June 2021","W","C",0.406432685642771,361.412861683834,5.89002096602469,"Mine"
"Goshen Road","17",106.77,"June 2021","W","B",0.545590516008466,195.696216974459,5.27656354347661,"Mine"
"Goshen Road","18",68.82,"June 2021","W","C",1.33902219031994,51.3957128548827,3.93955476148997,"Mine"
"Goshen Road","20",166.47,"June 2021","S","C",1.18581483208013,140.384481199296,4.94438495271397,"Mine"
"Goshen Road","21",68.01,"June 2021","S","B",1.38427078352483,49.1305608768416,3.89448126229373,"Mine"
"Goshen Road","22",68.03,"June 2021","W","B",0.683477329350718,99.535122934694,4.60051057619524,"Mine"
"Goshen Road","23",43.26,"June 2021","W","C",0.656044383217651,65.9406605812643,4.18875525550764,"Mine"
"Goshen Road","24",103.34,"June 2021","W","C",0.47935816821841,215.579929270998,5.3733317422664,"Mine"
"Jackson Mill","1",212.34,"June 2021","W","B",0.0614283356153941,3456.71094410683,8.1480728217618,"Agriculture"
"Jackson Mill","2",199.99,"June 2021","W","C",0.466524161489238,428.680905532507,6.06071283221661,"Agriculture"
"Jackson Mill","4",195.51,"June 2021","S","C",0.597873218274507,327.009128397241,5.78998808609551,"Agriculture"
"Jackson Mill","5",160.39,"June 2021","S","B",2.4262416541477,66.1063582540556,4.1912649336696,"Agriculture"
"Jackson Mill","6",245.78,"June 2021","S","C",1.93706015086886,126.882998387921,4.84326538929017,"Agriculture"
"Jackson Mill","7",208.79,"June 2021","S","B",2.14433627755567,97.3681237338389,4.57849888535691,"Agriculture"
"Jackson Mill","8",239.57,"June 2021","S","C",0.0305225881386128,7848.94121402931,8.96813392448599,"Agriculture"
"Jackson Mill","9",144.95,"June 2021","S","C",0.332296205772632,436.207207551384,6.07811737713259,"Agriculture"
"Jackson Mill","11",170.12,"June 2021","W","C",2.31007836405455,73.6425234083456,4.29922262259399,"Agriculture"
"Jackson Mill","12",169.92,"June 2021","W","B",0.412976989301486,411.451495850664,6.0196911416039,"Agriculture"
"Jackson Mill","14",169.62,"June 2021","S","C",0.649305418325365,261.232996387848,5.56541271556411,"Agriculture"
"Jackson Mill","15",270.48,"June 2021","S","C",0.880189257293792,307.297547383856,5.72781648792612,"Agriculture"
"Jackson Mill","18",206.94,"June 2021","W","C",1.18587318773184,174.504324864451,5.16194952565886,"Agriculture"
"Jackson Mill","19",146.91,"June 2021","W","C",1.7326197632661,84.7906754353679,4.44018557726328,"Agriculture"
"Jackson Mill","21",269.4,"June 2021","W","C",0.519300616342087,518.774658689282,6.25146960523788,"Agriculture"
"Jackson Mill","22",108.46,"June 2021","S","C",1.5078300225791,71.9311847992535,4.27570989530281,"Agriculture"
"Jackson Mill","24",137.24,"June 2021","S","B",0.651758192557952,210.56889129598,5.34981287414502,"Agriculture"
"Reedsville","2",187.91,"June 2021","S","C",0.227695479189471,825.268910339828,6.71570928515096,"Agriculture"
"Reedsville","3",278.98,"June 2021","S","B",0.513061884442126,543.755068266953,6.29849890331017,"Agriculture"
"Reedsville","4",195.67,"June 2021","W","C",1.25160472969433,156.335299282376,5.05200305506611,"Agriculture"
"Reedsville","5",173.3,"June 2021","W","B",0.554750765680885,312.392538633627,5.74426053366502,"Agriculture"
"Reedsville","7",184.86,"June 2021","S","B",0.485508461095375,380.755465276403,5.94215734564836,"Agriculture"
"Reedsville","8",172.8,"June 2021","S","C",1.41261694820018,122.326155169075,4.80669088057286,"Agriculture"
"Reedsville","9",172.77,"June 2021","S","C",0.713523149187942,242.136502784288,5.48950162822612,"Agriculture"
"Reedsville","10",189.81,"June 2021","W","B",2.12334901788874,89.3918043623038,4.49302900417744,"Agriculture"
"Reedsville","11",159.14,"June 2021","W","C",0.53697921673667,296.361563054759,5.69158020571041,"Agriculture"
"Reedsville","12",209.84,"June 2021","W","C",0.747321500372412,280.789459282826,5.63760513328051,"Agriculture"
"Reedsville","13",144.99,"June 2021","W","C",0.619301741532696,234.118508436885,5.45582743346852,"Agriculture"
"Reedsville","14",189.34,"June 2021","W","B",0.158917392360169,1191.43661488531,7.08291509737747,"Agriculture"
"Reedsville","15",176.89,"June 2021","W","C",0.146357380767905,1208.61687379138,7.09723190526586,"Agriculture"
"Reedsville","16",184.56,"June 2021","S","C",0.705313861271839,261.670739984036,5.56708699581111,"Agriculture"
"Reedsville","17",189.33,"June 2021","S","C",1.2234128530667,154.75560807246,5.04184715047162,"Agriculture"
"Reedsville","18",239.69,"June 2021","S","B",1.27418594304245,188.112262035851,5.23703892310227,"Agriculture"
"Reedsville","19",203.3,"June 2021","W","C",1.03103487344682,197.180527289396,5.28411969129585,"Agriculture"
"Reedsville","20",102.31,"June 2021","W","C",0.240442105197758,425.507836557379,6.05328336513497,"Agriculture"
"Reedsville","21",173.64,"June 2021","W","B",1.4339144642798,121.095089229896,4.79657609837345,"Agriculture"
"Reedsville","22",187.83,"June 2021","S","B",0.798406220126986,235.256183212257,5.46067506170035,"Agriculture"
"Reedsville","23",149.14,"June 2021","S","C",0.314404593183029,474.356937632839,6.16196007128867,"Agriculture"
"Reedsville","24",179.39,"June 2021","S","C",1.09492372115461,163.837897137556,5.09887750691499,"Agriculture"
"Agronomy Farm","1",144.52190974045,"May 2022","W","C",0.54424170123288,265.547291604194,5.581792947623,"Agriculture"
"Agronomy Farm","2",225.030651688633,"May 2022","W","B",0.684211800893423,328.890339796529,5.79572438151566,"Agriculture"
"Agronomy Farm","4",309.836488136251,"May 2022","S","B",0.11219885872884,2761.4941154175,7.92352715840198,"Agriculture"
"Agronomy Farm","5",256.418937312769,"May 2022","S","C",0.373214876179515,687.054438819936,6.53241353045109,"Agriculture"
"Agronomy Farm","6",286.012108957657,"May 2022","S","C",1.14319370633387,250.186917031649,5.52220830662427,"Agriculture"
"Agronomy Farm","8",130.201660783924,"May 2022","W","C",0.820581601760239,158.669973229508,5.06682640502794,"Agriculture"
"Agronomy Farm","9",131.042205114304,"May 2022","W","C",0.500347363999386,261.902459257215,5.56797214153149,"Agriculture"
"Agronomy Farm","10",241.764658997783,"May 2022","S","C",0.623630048098447,387.67320422575,5.9601627275753,"Agriculture"
"Agronomy Farm","11",141.6106623968,"May 2022","S","B",0.872856951075472,162.238110405511,5.08906507342616,"Agriculture"
"Agronomy Farm","12",288.814956901033,"May 2022","S","C",1.38973298872579,207.820465689484,5.33667456125292,"Agriculture"
"Agronomy Farm","13",122.382530548586,"May 2022","S","C",0.104406158991388,1172.17730956544,7.0666182467192,"Agriculture"
"Agronomy Farm","14",185.991802996877,"May 2022","S","C",0.324201792488503,573.691470269932,6.35209174356969,"Agriculture"
"Agronomy Farm","15",212.256062917113,"May 2022","S","B",0.883310199581093,240.296175701101,5.48187222793039,"Agriculture"
"Agronomy Farm","16",154.920889107624,"May 2022","W","B",0.587342518002845,263.765834005012,5.57506171713053,"Agriculture"
"Agronomy Farm","19",126.509440114765,"May 2022","S","C",1.09520501169839,115.512108476001,4.74937535975707,"Agriculture"
"Agronomy Farm","20",193.130179475189,"May 2022","S","C",0.438506902337235,440.426771952295,6.0877441930833,"Agriculture"
"Agronomy Farm","21",258.763238394781,"May 2022","S","B",0.143143776898082,1807.71559897444,7.49981922712676,"Agriculture"
"Agronomy Farm","23",161.583967502991,"May 2022","W","B",0.577557507357979,279.771218353914,5.63397219187219,"Agriculture"
"Agronomy Farm","24",166.95159239529,"May 2022","W","C",1.0129594236685,164.815676219945,5.10482773564533,"Agriculture"
"Allstar Mine 2","1",150.170597938245,"May 2022","W","C",1.01692243416561,147.671634426534,4.99499112252583,"Mine"
"Allstar Mine 2","2",150.962000715912,"May 2022","W","B",1.95660403730029,77.155110506778,4.34581781779196,"Mine"
"Allstar Mine 2","3",114.125754480895,"May 2022","W","C",0.0222348970038791,5132.73142038771,8.54339323708999,"Mine"
"Allstar Mine 2","4",206.801048765093,"May 2022","S","B",0.509228669784466,406.106452829183,6.00661532432022,"Mine"
"Allstar Mine 2","6",180.092889265261,"May 2022","S","C",2.58173780570709,69.7564597253658,4.24501002896324,"Mine"
"Allstar Mine 2","7",240.54511975719,"May 2022","W","C",0.0958171517209659,2510.45992744278,7.82822125336481,"Mine"
"Allstar Mine 2","9",90.7388642456354,"May 2022","W","C",2.17697063082692,41.6812532795485,3.7300514660801,"Mine"
"Allstar Mine 2","11",115.170167843282,"May 2022","S","C",0.830737402140502,138.636069047248,4.93185229133579,"Mine"
"Allstar Mine 2","12",147.404762585738,"May 2022","S","C",0.548055676269201,268.959467018335,5.5945606880192,"Mine"
"Allstar Mine 2","13",98.0341099904337,"May 2022","S","C",0.442319756916238,221.636290166886,5.40103770575622,"Mine"
"Allstar Mine 2","14",98.5759201408031,"May 2022","S","C",0.888398762427912,110.959092143942,4.7091615941413,"Mine"
"Allstar Mine 2","15",166.336259105582,"May 2022","S","B",0.612314002002563,271.651895206678,5.60452144962211,"Mine"
"Allstar Mine 2","16",138.863012855268,"May 2022","W","B",2.62363405667038,52.9277368168858,3.96892752691467,"Mine"
"Allstar Mine 2","18",69.0898561164377,"May 2022","W","C",3.86621606383306,17.8701487386456,2.88313165250802,"Mine"
"Allstar Mine 1","1",227.203577846214,"May 2022","W","C",3.93972478149847,57.6699110844482,4.05473556582707,"Mine"
"Allstar Mine 1","2",155.94947486037,"May 2022","W","C",0.794927797564932,196.180678720864,5.27903606481447,"Mine"
"Allstar Mine 1","3",139.219835498844,"May 2022","W","B",1.55297212460348,89.6473499383582,4.49588363952899,"Mine"
"Allstar Mine 1","4",159.048010461418,"May 2022","S","C",3.98553762815206,39.906287507606,3.6865338931254,"Mine"
"Allstar Mine 1","5",180.159690575282,"May 2022","S","B",1.92690854744055,93.4967519940594,4.53792669765981,"Mine"
"Allstar Mine 1","7",134.93092362561,"May 2022","W","B",0.101680653045585,1327.00685513023,7.19068120020449,"Mine"
"Allstar Mine 1","8",122.458287379047,"May 2022","W","C",3.90467032831592,31.3620042365685,3.44559710404487,"Mine"
"Allstar Mine 1","9",240.105122227015,"May 2022","W","C",0.145540971106553,1649.74247733465,7.40837448037112,"Mine"
"Allstar Mine 1","11",146.271918739025,"May 2022","S","C",2.20071313862937,66.4656906761254,4.19668588484197,"Mine"
"Allstar Mine 1","12",366.336529485299,"May 2022","S","B",1.5847451465128,231.164317045814,5.44312878684974,"Mine"
"Allstar Mine 1","14",176.234370300722,"May 2022","W","C",3.11697187878677,56.5402503308174,4.03495277975507,"Mine"
"Allstar Mine 1","15",132.978372648596,"May 2022","W","C",0.0500868443481036,2654.95609434676,7.8841833965701,"Mine"
"Allstar Mine 1","16",149.424986405183,"May 2022","S","C",1.00604513516171,148.527119890267,5.00076756709243,"Mine"
"Allstar Mine 1","17",214.488196050929,"May 2022","S","B",3.21940201709578,66.6236136126976,4.19905907345446,"Mine"
"Allstar Mine 1","18",199.010827767258,"May 2022","S","C",2.0379261996395,97.6535989391873,4.58142651213957,"Mine"
"Allstar Mine 1","19",124.580432866097,"May 2022","W","B",1.30554150866298,95.4243369815805,4.55833365054931,"Mine"
"Allstar Mine 1","20",174.955635510235,"May 2022","W","C",1.06740307123849,163.907749775571,5.09930376819248,"Mine"
"Allstar Mine 1","22",140.955974258703,"May 2022","S","C",2.53025982031682,55.7081028307416,4.02012560907737,"Mine"
"Allstar Mine 1","23",168.501433022576,"May 2022","S","B",1.0891297116181,154.711997317782,5.04156530672315,"Mine"
"Allstar Mine 1","24",173.716623982151,"May 2022","S","C",1.81320536444087,95.8063699727243,4.56232917517469,"Mine"
"Goshen Road","1",93.3265867409889,"May 2022","S","C",0.956927913927754,97.5272905959297,4.58013224238611,"Mine"
"Goshen Road","2",192.461076395011,"May 2022","S","B",1.29840649087131,148.228677034614,4.9987561964007,"Mine"
"Goshen Road","3",122.527007512948,"May 2022","S","C",1.02626095922002,119.391667793805,4.782409414552,"Mine"
