"site","plot","fraction","percent_n","percent_c","POM_first","MAOM_first","subsample_weight","POM+MAOM","factor","fraction_weight_g","crop","treatment"
"agronomy_farm",11,"MAOM",0.174,1.9651,2.18,8.71,9.99,10.89,0.917355371900826,7.9901652892562,"S","B"
"agronomy_farm",11,"POM",0.3606,7.4617,2.18,8.71,9.99,10.89,0.917355371900826,1.9998347107438,"S","B"
"agronomy_farm",12,"MAOM",0.324,2.7635,2.97,7.26,10,10.23,0.977517106549365,7.09677419354839,"S","C"
"agronomy_farm",12,"POM",0.7367,9.9882,2.97,7.26,10,10.23,0.977517106549365,2.90322580645161,"S","C"
"agronomy_farm",13,"MAOM",0.1537,1.4583,1.97,8.87,9.98,10.84,0.920664206642066,8.16629151291513,"S","C"
"agronomy_farm",13,"POM",0.3007,4.3947,1.97,8.87,9.98,10.84,0.920664206642066,1.81370848708487,"S","C"
"agronomy_farm",14,"MAOM",0.1543,1.4161,1.76,8.26,10,10.02,0.998003992015968,8.2435129740519,"S","C"
"agronomy_farm",14,"POM",0.2602,3.5989,1.76,8.26,10,10.02,0.998003992015968,1.7564870259481,"S","C"
"agronomy_farm",16,"MAOM",0.159,1.6321,2.13,7.26,10.01,9.39,1.06602768903088,7.73936102236422,"W","B"
"agronomy_farm",16,"POM",0.1971,4.2317,2.13,7.26,10.01,9.39,1.06602768903088,2.27063897763578,"W","B"
"agronomy_farm",17,"MAOM",0.1591,1.5259,2.05,7.95,10,10,1,7.95,"W","C"
"agronomy_farm",17,"POM",0.1987,2.9082,2.05,7.95,10,10,1,2.05,"W","C"
"agronomy_farm",18,"MAOM",0.2029,1.7892,2.25,7.86,9.99,10.11,0.98813056379822,7.76670623145401,"W","C"
"agronomy_farm",18,"POM",0.3268,4.4008,2.25,7.86,9.99,10.11,0.98813056379822,2.22329376854599,"W","C"
"agronomy_farm",19,"MAOM",0.1674,1.533,2.71,7.85,10.01,10.56,0.947916666666667,7.44114583333333,"S","C"
"agronomy_farm",19,"POM",0.1965,2.7972,2.71,7.85,10.01,10.56,0.947916666666667,2.56885416666667,"S","C"
"agronomy_farm",20,"MAOM",0.1898,1.7126,2.5,7.5,10.01,10,1.001,7.5075,"S","C"
"agronomy_farm",20,"POM",0.25,3.5317,2.5,7.5,10.01,10,1.001,2.5025,"S","C"
"agronomy_farm",21,"MAOM",0.2055,2.2712,2.85,6.63,10.02,9.48,1.05696202531646,7.0076582278481,"S","B"
"agronomy_farm",21,"POM",0.2733,6.3238,2.85,6.63,10.02,9.48,1.05696202531646,3.0123417721519,"S","B"
"agronomy_farm",22,"MAOM",0.1739,1.6372,2.08,8.01,10.01,10.09,0.99207135777998,7.94649157581764,"W","C"
"agronomy_farm",22,"POM",0.228,3.4242,2.08,8.01,10.01,10.09,0.99207135777998,2.06350842418236,"W","C"
"agronomy_farm",23,"MAOM",0.1636,1.9286,2.18,7.58,10,9.76,1.02459016393443,7.76639344262295,"W","B"
"agronomy_farm",23,"POM",0.2229,6.6537,2.18,7.58,10,9.76,1.02459016393443,2.23360655737705,"W","B"
"agronomy_farm",24,"MAOM",0.2177,1.9481,2.4,7.83,9.99,10.23,0.976539589442815,7.64630498533724,"W","C"
"agronomy_farm",3,"MAOM",0.3106,3.161,2.75,7.87,9.98,10.62,0.939736346516007,7.39572504708098,"W","C"
"agronomy_farm",3,"POM",0.6017,8.3509,2.75,7.87,9.98,10.62,0.939736346516007,2.58427495291902,"W","C"
"agronomy_farm",5,"MAOM",0.1594,1.7204,1.66,8.25,10.05,9.91,1.01412714429869,8.36654894046418,"S","C"
"agronomy_farm",5,"POM",0.2331,3.6404,1.66,8.25,10.05,9.91,1.01412714429869,1.68345105953582,"S","C"
"agronomy_farm",6,"MAOM",0.2408,2.3214,2.84,7.87,9.99,10.71,0.932773109243697,7.3409243697479,"S","C"
"agronomy_farm",6,"POM",0.5302,7.1935,2.84,7.87,9.99,10.71,0.932773109243697,2.6490756302521,"S","C"
"agronomy_farm",7,"MAOM",0.1334,1.6197,1.91,7.55,9.98,9.46,1.05496828752643,7.96501057082453,"W","B"
"agronomy_farm",7,"POM",0.2339,6.6248,1.91,7.55,9.98,9.46,1.05496828752643,2.01498942917548,"W","B"
"agronomy_farm",8,"MAOM",0.1839,1.6281,1.75,8.2,10,9.95,1.00502512562814,8.24120603015075,"W","C"
"agronomy_farm",8,"POM",0.3656,4.8559,1.75,8.2,10,9.95,1.00502512562814,1.75879396984925,"W","C"
"agronomy_farm",9,"MAOM",0.2932,2.8067,2.73,7.79,10.01,10.52,0.951520912547529,7.41234790874525,"W","C"
"agronomy_farm",9,"POM",0.5035,6.8682,2.73,7.79,10.01,10.52,0.951520912547529,2.59765209125475,"W","C"
"allstar_mine_1",1,"MAOM",0.3292,3.0429,3.63,6.34,9.98,9.97,1.00100300902708,6.3463590772317,"W","C"
"allstar_mine_1",1,"POM",0.6173,9.9602,3.63,6.34,9.98,9.97,1.00100300902708,3.63364092276831,"W","C"
"allstar_mine_1",11,"MAOM",0.3669,3.3823,3.41,7.23,9.98,10.64,0.93796992481203,6.78152255639098,"S","C"
"allstar_mine_1",11,"POM",0.4961,6.548,3.41,7.23,9.98,10.64,0.93796992481203,3.19847744360902,"S","C"
"allstar_mine_1",12,"MAOM",0.3097,3.5143,3.55,6.67,10.02,10.22,0.980430528375734,6.53947162426615,"S","B"
"allstar_mine_1",12,"POM",0.4863,12.9318,3.55,6.67,10.02,10.22,0.980430528375734,3.48052837573386,"S","B"
"allstar_mine_1",13,"MAOM",0.146,1.4668,3.26,6.33,10.03,9.59,1.0458811261731,6.6204275286757,"W","B"
"allstar_mine_1",13,"POM",0.2121,4.8683,3.26,6.33,10.03,9.59,1.0458811261731,3.4095724713243,"W","B"
"allstar_mine_1",15,"MAOM",0.1788,1.9529,3.01,7.48,9.98,10.49,0.951382268827455,7.11633937082936,"W","C"
"allstar_mine_1",15,"POM",0.2811,5.754,3.01,7.48,9.98,10.49,0.951382268827455,2.86366062917064,"W","C"
"allstar_mine_1",16,"MAOM",0.2245,2.2733,3.17,7.43,9.99,10.6,0.942452830188679,7.00242452830189,"S","C"
"allstar_mine_1",16,"POM",0.3005,5.4014,3.17,7.43,9.99,10.6,0.942452830188679,2.98757547169811,"S","C"
"allstar_mine_1",17,"MAOM",0.1664,2.028,3.06,6.75,10.02,9.81,1.02140672782875,6.89449541284404,"S","B"
"allstar_mine_1",17,"POM",0.2188,4.7685,3.06,6.75,10.02,9.81,1.02140672782875,3.12550458715596,"S","B"
"allstar_mine_1",18,"MAOM",0.274,3.3155,2.82,7.55,9.98,10.37,0.962391513982642,7.26605593056895,"S","C"
"allstar_mine_1",18,"POM",0.4606,10.8257,2.82,7.55,9.98,10.37,0.962391513982642,2.71394406943105,"S","C"
"allstar_mine_1",19,"MAOM",0.2567,2.9375,3.5,7.03,9.98,10.53,0.947768281101614,6.66281101614435,"W","B"
"allstar_mine_1",19,"POM",0.3151,7.5099,3.5,7.03,9.98,10.53,0.947768281101614,3.31718898385565,"W","B"
"allstar_mine_1",2,"MAOM",0.2214,2.0731,2.76,7.2,9.99,9.96,1.00301204819277,7.22168674698795,"W","C"
"allstar_mine_1",2,"POM",0.3581,5.5344,2.76,7.2,9.99,9.96,1.00301204819277,2.76831325301205,"W","C"
"allstar_mine_1",20,"MAOM",0.1794,1.9469,3.46,6.79,10.05,10.25,0.980487804878049,6.65751219512195,"W","C"
"allstar_mine_1",20,"POM",0.2646,6.7208,3.46,6.79,10.05,10.25,0.980487804878049,3.39248780487805,"W","C"
"allstar_mine_1",21,"MAOM",0.2679,2.6315,3.26,6.74,10.02,10,1.002,6.75348,"W","C"
"allstar_mine_1",21,"POM",0.3397,4.8775,3.26,6.74,10.02,10,1.002,3.26652,"W","C"
"allstar_mine_1",24,"MAOM",0.3462,3.3964,4.23,6.71,9.99,10.94,0.913162705667276,6.12732175502742,"S","C"
"allstar_mine_1",24,"POM",0.488,6.8382,4.23,6.71,9.99,10.94,0.913162705667276,3.86267824497258,"S","C"
"allstar_mine_1",3,"MAOM",0.3522,4.171,3.08,6.83,10.02,9.91,1.01109989909183,6.90581231079717,"W","B"
"allstar_mine_1",3,"POM",0.6227,13.6048,3.08,6.83,10.02,9.91,1.01109989909183,3.11418768920282,"W","B"
"allstar_mine_1",4,"MAOM",0.2892,3.0433,3.67,6.43,9.99,10.1,0.989108910891089,6.3599702970297,"S","C"
"allstar_mine_1",4,"POM",0.5026,8.2436,3.67,6.43,9.99,10.1,0.989108910891089,3.6300297029703,"S","C"
"allstar_mine_1",5,"MAOM",0.3911,4.5293,3.43,6.84,9.99,10.27,0.972736124634859,6.65351509250243,"S","B"
"allstar_mine_1",5,"POM",0.4948,10.892,3.43,6.84,9.99,10.27,0.972736124634859,3.33648490749757,"S","B"
"allstar_mine_1",6,"MAOM",0.3126,3.0241,3.23,6.57,10,9.8,1.02040816326531,6.70408163265306,"S","C"
"allstar_mine_1",6,"POM",0.5836,9.5623,3.23,6.57,10,9.8,1.02040816326531,3.29591836734694,"S","C"
"allstar_mine_1",7,"MAOM",0.1299,1.405,3.58,7.15,9.98,10.73,0.930102516309413,6.6502329916123,"W","B"
"allstar_mine_1",7,"POM",0.2131,4.1024,3.58,7.15,9.98,10.73,0.930102516309413,3.3297670083877,"W","B"
"allstar_mine_1",8,"MAOM",0.2602,2.4653,3.29,6.76,9.98,10.05,0.993034825870647,6.71291542288557,"W","C"
"allstar_mine_1",8,"POM",0.4553,7.2478,3.29,6.76,9.98,10.05,0.993034825870647,3.26708457711443,"W","C"
"allstar_mine_1",9,"MAOM",0.2965,2.834,3.5,6.9,9.98,10.4,0.959615384615385,6.62134615384615,"W","C"
"allstar_mine_1",9,"POM",0.5034,8.5779,3.5,6.9,9.98,10.4,0.959615384615385,3.35865384615385,"W","C"
"allstar_mine_2",10,"MAOM",0.333,3.2909,2.82,7.43,10,10.25,0.975609756097561,7.24878048780488,"S","B"
"allstar_mine_2",10,"POM",0.4263,7.759,2.82,7.43,10,10.25,0.975609756097561,2.75121951219512,"S","B"
"allstar_mine_2",11,"MAOM",0.1907,1.9175,2.57,7.72,10.03,10.29,0.974732750242954,7.52493683187561,"S","C"
"allstar_mine_2",11,"POM",0.2219,3.9808,2.57,7.72,10.03,10.29,0.974732750242954,2.50506316812439,"S","C"
"allstar_mine_2",12,"MAOM",0.1544,1.5379,2.66,7.82,9.98,10.48,0.952290076335878,7.44690839694657,"S","C"
"allstar_mine_2",12,"POM",0.1641,3.5956,2.66,7.82,9.98,10.48,0.952290076335878,2.53309160305343,"S","C"
"allstar_mine_2",13,"MAOM",0.3081,3.162,3.56,6.8,10.02,10.36,0.967181467181467,6.57683397683398,"S","C"
"allstar_mine_2",13,"POM",0.4252,7.9594,3.56,6.8,10.02,10.36,0.967181467181467,3.44316602316602,"S","C"
"allstar_mine_2",14,"MAOM",0.2481,2.4877,3.3,7.29,10.01,10.59,0.9452313503305,6.89073654390935,"S","C"
"allstar_mine_2",14,"POM",0.287,5.968,3.3,7.29,10.01,10.59,0.9452313503305,3.11926345609065,"S","C"
"allstar_mine_2",15,"MAOM",0.2437,3.1013,3.95,5.82,10.01,9.77,1.02456499488229,5.96296827021494,"S","B"
"allstar_mine_2",15,"POM",0.3828,11.989,3.95,5.82,10.01,9.77,1.02456499488229,4.04703172978506,"S","B"
"allstar_mine_2",18,"MAOM",0.1543,1.9534,3.51,6.58,10,10.09,0.991080277502478,6.5213082259663,"W","C"
"allstar_mine_2",18,"POM",0.2281,7.0829,3.51,6.58,10,10.09,0.991080277502478,3.4786917740337,"W","C"
"allstar_mine_2",2,"MAOM",0.2174,2.279,2.55,7.55,9.98,10.1,0.988118811881188,7.46029702970297,"W","B"
"allstar_mine_2",2,"POM",0.3058,6.2353,2.55,7.55,9.98,10.1,0.988118811881188,2.51970297029703,"W","B"
"allstar_mine_2",3,"MAOM",0.241,2.4719,2.98,7.08,10.01,10.06,0.995029821073559,7.04481113320079,"W","C"
"allstar_mine_2",3,"POM",0.3289,7.6281,2.98,7.08,10.01,10.06,0.995029821073559,2.9651888667992,"W","C"
"allstar_mine_2",4,"MAOM",0.29,3.2627,3.27,7.41,9.98,10.68,0.934456928838951,6.92432584269663,"S","B"
"allstar_mine_2",5,"MAOM",0.2516,2.3589,3.03,7.47,10.03,10.5,0.955238095238095,7.13562857142857,"S","C"
"allstar_mine_2",6,"MAOM",0.3163,3.1837,3.16,7.15,10.01,10.31,0.97090203685742,6.94194956353055,"S","C"
"allstar_mine_2",6,"POM",0.4918,8.9536,3.16,7.15,10.01,10.31,0.97090203685742,3.06805043646945,"S","C"
"allstar_mine_2",7,"MAOM",0.2413,2.3209,3.31,7.21,10.06,10.52,0.956273764258555,6.89473384030418,"W","C"
"allstar_mine_2",7,"POM",0.3623,5.7003,3.31,7.21,10.06,10.52,0.956273764258555,3.16526615969582,"W","C"
"allstar_mine_2",8,"MAOM",0.26,2.8217,3.02,7.02,9.99,10.04,0.995019920318725,6.98503984063745,"W","B"
"allstar_mine_2",8,"POM",0.4101,7.5377,3.02,7.02,9.99,10.04,0.995019920318725,3.00496015936255,"W","B"
"allstar_mine_2",9,"MAOM",0.3235,3.0788,2.73,7.3,10,10.03,0.997008973080758,7.27816550348953,"W","C"
"allstar_mine_2",9,"POM",0.4396,6.0355,2.73,7.3,10,10.03,0.997008973080758,2.72183449651047,"W","C"
"goshen",1,"MAOM",0.2705,2.9151,4.01,6.52,10.01,10.53,0.950617283950617,6.19802469135802,"S","C"
"goshen",1,"POM",0.3575,6.1407,4.01,6.52,10.01,10.53,0.950617283950617,3.81197530864197,"S","C"
"goshen",10,"MAOM",0.3258,3.5418,5.05,5.43,10.01,10.48,0.955152671755725,5.18647900763359,"S","C"
"goshen",10,"POM",0.2975,5.1391,5.05,5.43,10.01,10.48,0.955152671755725,4.82352099236641,"S","C"
"goshen",11,"MAOM",0.2716,3.7124,4.78,5.5,10.01,10.28,0.973735408560311,5.35554474708171,"S","B"
"goshen",11,"POM",0.4822,11.73,4.78,5.5,10.01,10.28,0.973735408560311,4.65445525291829,"S","B"
"goshen",12,"MAOM",0.2366,2.4668,4.55,5.29,10.03,9.84,1.01930894308943,5.39214430894309,"S","C"
"goshen",12,"POM",0.337,6.2865,4.55,5.29,10.03,9.84,1.01930894308943,4.63785569105691,"S","C"
"goshen",15,"MAOM",0.2116,2.0461,4.26,6.28,10.02,10.54,0.950664136622391,5.97017077798862,"S","C"
"goshen",15,"POM",0.2796,4.5442,4.26,6.28,10.02,10.54,0.950664136622391,4.04982922201139,"S","C"
"goshen",16,"MAOM",0.2414,2.3426,5.47,4.57,10,10.04,0.99601593625498,4.55179282868526,"W","C"
"goshen",16,"POM",0.2651,4.238,5.47,4.57,10,10.04,0.99601593625498,5.44820717131474,"W","C"
"goshen",17,"MAOM",0.2104,2.385,3.88,6.23,10,10.11,0.989119683481701,6.162215628091,"W","B"
"goshen",17,"POM",0.255,6.1882,3.88,6.23,10,10.11,0.989119683481701,3.837784371909,"W","B"
"goshen",19,"MAOM",0.3517,3.5724,5.67,4.86,10.01,10.53,0.950617283950617,4.62,"S","C"
"goshen",19,"POM",0.6206,9.7243,5.67,4.86,10.01,10.53,0.950617283950617,5.39,"S","C"
"goshen",2,"MAOM",0.2308,2.8846,3.53,6.68,9.97,10.21,0.976493633692459,6.52297747306562,"S","B"
"goshen",2,"POM",0.2548,6.0602,3.53,6.68,9.97,10.21,0.976493633692459,3.44702252693438,"S","B"
"goshen",20,"MAOM",0.1734,1.7627,4.29,6.43,9.98,10.72,0.930970149253731,5.98613805970149,"S","C"
"goshen",20,"POM",0.1896,3.5078,4.29,6.43,9.98,10.72,0.930970149253731,3.99386194029851,"S","C"
"goshen",21,"MAOM",0.3616,4.3923,5.43,4.97,9.98,10.4,0.959615384615385,4.76928846153846,"S","B"
"goshen",21,"POM",0.677,11.4607,5.43,4.97,9.98,10.4,0.959615384615385,5.21071153846154,"S","B"
"goshen",22,"MAOM",0.2348,2.7091,4.51,6.15,9.99,10.66,0.937148217636023,5.76346153846154,"W","B"
"goshen",22,"POM",0.2564,5.0483,4.51,6.15,9.99,10.66,0.937148217636023,4.22653846153846,"W","B"
"goshen",23,"MAOM",0.0107,0.9871,3.54,6.47,10.02,10.01,1.000999000999,6.47646353646354,"W","C"
"goshen",23,"POM",0.1099,2.7911,3.54,6.47,10.02,10.01,1.000999000999,3.54353646353646,"W","C"
"goshen",24,"MAOM",0.2142,2.2495,4.28,5.81,10.03,10.09,0.994053518334985,5.77545094152626,"W","C"
"goshen",24,"POM",0.3658,6.0276,4.28,5.81,10.03,10.09,0.994053518334985,4.25454905847374,"W","C"
"goshen",3,"MAOM",0.266,3.2808,4.01,6.67,9.98,10.68,0.934456928838951,6.23282771535581,"S","C"
"goshen",3,"POM",0.2781,6.8188,4.01,6.67,9.98,10.68,0.934456928838951,3.74717228464419,"S","C"
"goshen",5,"MAOM",0.289,3.8854,4.23,6.54,9.99,10.77,0.927576601671309,6.06635097493036,"W","B"
"goshen",5,"POM",0.4818,11.3782,4.23,6.54,9.99,10.77,0.927576601671309,3.92364902506964,"W","B"
"goshen",6,"MAOM",0.1758,2.1016,3.98,6.86,9.98,10.84,0.920664206642066,6.31575645756458,"W","C"
"goshen",6,"POM",0.2238,6.321,3.98,6.86,9.98,10.84,0.920664206642066,3.66424354243542,"W","C"
"goshen",8,"MAOM",0.2704,3.327,4.73,5.53,10,10.26,0.974658869395711,5.38986354775828,"W","C"
"goshen",8,"POM",0.4852,10.6753,4.73,5.53,10,10.26,0.974658869395711,4.61013645224171,"W","C"
"goshen",9,"MAOM",0.2559,3.3078,4.39,6.16,9.98,10.55,0.945971563981043,5.82718483412322,"W","C"
"goshen",9,"POM",0.3645,8.1237,4.39,6.16,9.98,10.55,0.945971563981043,4.15281516587678,"W","C"
"jackson_mill",10,"MAOM",0.2446,2.2353,2.53,8.15,10.02,10.68,0.938202247191011,7.64634831460674,"W","C"
"jackson_mill",10,"POM",0.365,4.4231,2.53,8.15,10.02,10.68,0.938202247191011,2.37365168539326,"W","C"
"jackson_mill",11,"POM",0.5038,6.3852,1.65,8.93,10.02,10.58,0.947069943289225,1.56266540642722,"W","C"
"jackson_mill",12,"MAOM",0.2258,2.1742,2.25,8.22,10.02,10.47,0.95702005730659,7.86670487106017,"W","B"
"jackson_mill",12,"POM",0.3274,5.3948,2.25,8.22,10.02,10.47,0.95702005730659,2.15329512893983,"W","B"
"jackson_mill",13,"MAOM",0.2897,2.6411,1.53,8.52,10.01,10.05,0.996019900497513,8.48608955223881,"S","B"
"jackson_mill",13,"POM",0.4681,6.7329,1.53,8.52,10.01,10.05,0.996019900497513,1.52391044776119,"S","B"
"jackson_mill",14,"MAOM",0.2708,2.5878,2.09,9.28,10.02,11.37,0.881266490765171,8.17815303430079,"S","C"
"jackson_mill",14,"POM",0.5214,7.5648,2.09,9.28,10.02,11.37,0.881266490765171,1.84184696569921,"S","C"
"jackson_mill",15,"MAOM",0.2248,2.0469,2.36,7.77,9.99,10.13,0.986179664363278,7.66261599210267,"S","C"
"jackson_mill",15,"POM",0.3319,4.3071,2.36,7.77,9.99,10.13,0.986179664363278,2.32738400789733,"S","C"
"jackson_mill",16,"MAOM",0.3077,2.7807,2.34,8.04,10,10.38,0.963391136801542,7.74566473988439,"W","B"
"jackson_mill",16,"POM",0.5998,11.1555,2.34,8.04,10,10.38,0.963391136801542,2.25433526011561,"W","B"
"jackson_mill",17,"MAOM",0.3274,2.8328,2.39,8.17,9.99,10.56,0.946022727272727,7.72900568181818,"W","C"
"jackson_mill",17,"POM",0.4782,6.932,2.39,8.17,9.99,10.56,0.946022727272727,2.26099431818182,"W","C"
"jackson_mill",18,"MAOM",0.2187,1.9535,2.16,8.84,10,11,0.909090909090909,8.03636363636364,"W","C"
"jackson_mill",18,"POM",0.3076,4.2875,2.16,8.84,10,11,0.909090909090909,1.96363636363636,"W","C"
"jackson_mill",19,"MAOM",0.2974,2.7887,2.65,7.9,10.03,10.55,0.950710900473933,7.51061611374407,"W","C"
"jackson_mill",19,"POM",0.3532,6.2886,2.65,7.9,10.03,10.55,0.950710900473933,2.51938388625592,"W","C"
"jackson_mill",2,"MAOM",0.2522,2.4363,1.93,8.59,10.02,10.52,0.952471482889734,8.18173003802281,"W","C"
"jackson_mill",2,"POM",0.428,5.3758,1.93,8.59,10.02,10.52,0.952471482889734,1.83826996197719,"W","C"
"jackson_mill",20,"MAOM",0.3195,3.2383,3.18,8.78,9.98,11.96,0.834448160535117,7.32645484949833,"W","B"
"jackson_mill",20,"POM",0.4654,9.0071,3.18,8.78,9.98,11.96,0.834448160535117,2.65354515050167,"W","B"
"jackson_mill",21,"MAOM",0.4093,3.5809,3.35,6.92,10.08,10.27,0.981499513145083,6.79197663096397,"W","C"
"jackson_mill",21,"POM",0.433,6.4245,3.35,6.92,10.08,10.27,0.981499513145083,3.28802336903603,"W","C"
"jackson_mill",22,"MAOM",0.2087,1.9152,2.36,7.8,9.99,10.16,0.983267716535433,7.66948818897638,"S","C"
"jackson_mill",22,"POM",0.3024,4.0354,2.36,7.8,9.99,10.16,0.983267716535433,2.32051181102362,"S","C"
"jackson_mill",23,"MAOM",0.2701,2.5221,2.99,7.71,10.02,10.7,0.936448598130841,7.22001869158878,"S","C"
"jackson_mill",23,"POM",0.3878,5.1399,2.99,7.71,10.02,10.7,0.936448598130841,2.79998130841122,"S","C"
"jackson_mill",24,"MAOM",0.2993,2.886,1.96,8.53,10.05,10.49,0.958055290753098,8.17221163012393,"S","B"
"jackson_mill",24,"POM",0.5791,9.9321,1.96,8.53,10.05,10.49,0.958055290753098,1.87778836987607,"S","B"
"jackson_mill",4,"POM",0.3823,5.4325,2.27,8.84,9.98,11.11,0.898289828982898,2.03911791179118,"S","C"
"jackson_mill",6,"MAOM",0.2689,2.469,2.58,8.31,10.02,10.89,0.920110192837465,7.64611570247934,"S","C"
"jackson_mill",6,"POM",0.3843,5.3368,2.58,8.31,10.02,10.89,0.920110192837465,2.37388429752066,"S","C"
"jackson_mill",7,"MAOM",0.253,2.5761,2.47,7.11,9.98,9.58,1.04175365344468,7.40686847599165,"S","B"
"jackson_mill",7,"POM",0.363,6.7024,2.47,7.11,9.98,9.58,1.04175365344468,2.57313152400835,"S","B"
"jackson_mill",8,"MAOM",0.2525,2.0671,2.18,7.92,9.98,10.1,0.988118811881188,7.82590099009901,"S","C"
"jackson_mill",8,"POM",0.2972,3.4193,2.18,7.92,9.98,10.1,0.988118811881188,2.15409900990099,"S","C"
"jackson_mill",9,"MAOM",0.2201,1.9845,2.19,8.6,10.02,10.79,0.928637627432808,7.98628359592215,"S","C"
"jackson_mill",9,"POM",0.2919,3.8048,2.19,8.6,10.02,10.79,0.928637627432808,2.03371640407785,"S","C"
"reedsville",11,"MAOM",0.1375,1.5013,1.83,8.14,10.01,9.97,1.00401203610832,8.17265797392177,"W","C"
"reedsville",11,"POM",0.1893,3.436,1.83,8.14,10.01,9.97,1.00401203610832,1.83734202607823,"W","C"
"reedsville",12,"MAOM",0.2278,2.4163,2.07,8.1,10,10.17,0.983284169124877,7.9646017699115,"W","C"
"reedsville",12,"POM",0.1998,3.9228,2.07,8.1,10,10.17,0.983284169124877,2.0353982300885,"W","C"
"reedsville",13,"MAOM",0.1902,2.0826,1.72,8.58,10.01,10.3,0.971844660194175,8.33842718446602,"W","C"
"reedsville",13,"POM",0.1416,2.5484,1.72,8.58,10.01,10.3,0.971844660194175,1.67157281553398,"W","C"
"reedsville",14,"MAOM",0.215,2.6701,4.42,6.57,9.98,10.99,0.908098271155596,5.96620564149227,"W","B"
"reedsville",15,"MAOM",0.2138,2.3957,3.14,6.75,10.01,9.89,1.01213346814965,6.83190091001011,"W","C"
"reedsville",15,"POM",0.1739,2.866,3.14,6.75,10.01,9.89,1.01213346814965,3.17809908998989,"W","C"
"reedsville",16,"MAOM",0.2952,3.2392,3.01,6.68,9.98,9.69,1.02992776057792,6.87991744066048,"S","C"
"reedsville",17,"MAOM",0.2393,2.6494,3.26,7.36,10.01,10.62,0.94256120527307,6.93725047080979,"S","C"
"reedsville",17,"POM",0.1411,2.447,3.26,7.36,10.01,10.62,0.94256120527307,3.07274952919021,"S","C"
"reedsville",18,"POM",0.1911,5.3337,3.28,7.06,9.98,10.34,0.965183752417795,3.16580270793037,"S","B"
"reedsville",19,"MAOM",0.1618,1.7351,2.95,6.79,10.01,9.74,1.02772073921971,6.97822381930185,"W","C"
"reedsville",19,"POM",0.1427,3.0501,2.95,6.79,10.01,9.74,1.02772073921971,3.03177618069815,"W","C"
"reedsville",2,"MAOM",0.2259,2.4791,2.66,7.26,10.01,9.92,1.00907258064516,7.32586693548387,"S","C"
"reedsville",2,"POM",0.1853,2.9977,2.66,7.26,10.01,9.92,1.00907258064516,2.68413306451613,"S","C"
"reedsville",20,"MAOM",0.1734,1.9631,1.84,7.89,10.02,9.73,1.02980472764645,8.12515930113052,"W","C"
"reedsville",21,"MAOM",0.1435,1.3777,1.87,8.7,10.02,10.57,0.947965941343425,8.24730368968779,"W","B"
"reedsville",21,"POM",0.2034,2.7113,1.87,8.7,10.02,10.57,0.947965941343425,1.7726963103122,"W","B"
"reedsville",23,"MAOM",0.2074,2.2933,2.51,7.79,9.99,10.3,0.969902912621359,7.55554368932039,"S","C"
"reedsville",23,"POM",0.2073,4.0551,2.51,7.79,9.99,10.3,0.969902912621359,2.43445631067961,"S","C"
"reedsville",24,"MAOM",0.2073,2.1861,3.37,7.42,9.98,10.79,0.924930491195552,6.86298424467099,"S","C"
"reedsville",24,"POM",0.1544,2.8267,3.37,7.42,9.98,10.79,0.924930491195552,3.11701575532901,"S","C"
"reedsville",4,"MAOM",0.2574,2.7452,2.76,7.16,9.98,9.92,1.00604838709677,7.2033064516129,"W","C"
"reedsville",4,"POM",0.2104,3.2802,2.76,7.16,9.98,9.92,1.00604838709677,2.7766935483871,"W","C"
"reedsville",5,"MAOM",0.2311,2.3411,2.68,7.08,10.07,9.76,1.03176229508197,7.30487704918033,"W","B"
"reedsville",5,"POM",0.1781,3.3291,2.68,7.08,10.07,9.76,1.03176229508197,2.76512295081967,"W","B"
"reedsville",6,"MAOM",0.2287,2.3553,2.6,7.22,9.99,9.82,1.0173116089613,7.34498981670061,"W","C"
"reedsville",6,"POM",0.1791,5.7308,2.6,7.22,9.99,9.82,1.0173116089613,2.64501018329939,"W","C"
"reedsville",7,"MAOM",0.2165,2.3457,2.94,7.05,10.02,9.99,1.003003003003,7.07117117117117,"S","B"
"reedsville",7,"POM",0.1537,3.1434,2.94,7.05,10.02,9.99,1.003003003003,2.94882882882883,"S","B"
"reedsville",8,"MAOM",0.2172,2.1931,2.79,7.04,10,9.83,1.01729399796541,7.1617497456765,"S","C"
"reedsville",8,"POM",0.1961,3.511,2.79,7.04,10,9.83,1.01729399796541,2.8382502543235,"S","C"
"reedsville",9,"MAOM",0.2341,2.4087,2.89,7.61,10.01,10.5,0.953333333333333,7.25486666666667,"S","C"
"reedsville",9,"POM",0.2449,4.3814,2.89,7.61,10.01,10.5,0.953333333333333,2.75513333333333,"S","C"
