site,plot,POM,MAOM,subsample_weight,POM+MAOM
agronomy_farm,1,1.74,9.11,,10.85
agronomy_farm,2,2.13,8.8,,10.93
agronomy_farm,3,2.75,7.87,9.98,10.62
agronomy_farm,4,1.82,8.41,,10.23
agronomy_farm,5,1.66,,,1.66
agronomy_farm,6,2.84,,,2.84
agronomy_farm,7,1.91,,,1.91
agronomy_farm,8,1.75,8.2,10,9.95
agronomy_farm,9,2.73,,,2.73
agronomy_farm,10,2.06,9.08,,11.14
agronomy_farm,11,2.18,8.71,9.99,10.89
agronomy_farm,12,2.97,,,2.97
agronomy_farm,13,1.97,8.87,9.98,10.84
agronomy_farm,14,1.76,,,1.76
agronomy_farm,15,3.87,8.08,,11.95
agronomy_farm,16,2.13,,,2.13
agronomy_farm,17,2.05,,,2.05
agronomy_farm,18,2.25,,,2.25
agronomy_farm,19,2.71,7.85,10.01,10.56
agronomy_farm,20,2.5,7.5,10.01,10
agronomy_farm,21,2.85,6.63,10.02,9.48
agronomy_farm,22,2.08,8.01,10.01,10.09
agronomy_farm,23,2.18,,,2.18
agronomy_farm,24,2.4,7.83,9.99,10.23
allstar_mine_1,1,3.63,,,3.63
allstar_mine_1,2,2.76,,,2.76
allstar_mine_1,3,3.08,6.83,10.02,9.91
allstar_mine_1,4,3.67,,,3.67
allstar_mine_1,5,3.43,6.84,9.99,10.27
allstar_mine_1,6,3.23,,,3.23
allstar_mine_1,7,3.58,7.15,9.98,10.73
allstar_mine_1,8,3.29,,,3.29
allstar_mine_1,9,3.5,6.9,9.98,10.4
allstar_mine_1,10,,,,0
allstar_mine_1,11,3.41,7.23,9.98,10.64
allstar_mine_1,12,3.55,,,3.55
allstar_mine_1,13,3.26,,,3.26
allstar_mine_1,14,3.32,7.85,,11.17
allstar_mine_1,15,,,,0
allstar_mine_1,16,3.17,7.43,9.99,10.6
allstar_mine_1,17,3.06,,,3.06
allstar_mine_1,18,,,,0
allstar_mine_1,19,,,,0
allstar_mine_1,20,,,,0
allstar_mine_1,21,,,,0
allstar_mine_1,22,3.8,7.03,,10.83
allstar_mine_1,23,,7.38,10.02,7.38
allstar_mine_1,24,4.23,6.71,9.99,10.94
allstar_mine_2,1,,7.54,10.02,7.54
allstar_mine_2,2,,,,0
allstar_mine_2,3,,,,0
allstar_mine_2,4,3.27,7.41,9.98,10.68
allstar_mine_2,5,,,,0
allstar_mine_2,6,,,,0
allstar_mine_2,7,3.31,,,3.31
allstar_mine_2,8,3.02,,,3.02
allstar_mine_2,9,,,,0
allstar_mine_2,10,,,,0
allstar_mine_2,11,,,,0
allstar_mine_2,12,,,,0
allstar_mine_2,13,3.56,,,3.56
allstar_mine_2,14,3.3,7.29,10.01,10.59
allstar_mine_2,15,3.95,,,3.95
allstar_mine_2,16,3.2,7.51,,10.71
allstar_mine_2,17,3.58,7.79,,11.37
allstar_mine_2,18,,,,0
goshen,1,,,,0
goshen,2,,,,0
goshen,3,,,,0
goshen,4,4.16,6.04,,10.2
goshen,5,,,,0
goshen,6,,,,0
goshen,7,4.77,6.81,,11.58
goshen,8,,,,0
goshen,9,,,,0
goshen,10,5.05,5.43,10.01,10.48
goshen,11,,,,0
goshen,12,4.55,,,4.55
goshen,13,5.66,5.44,,11.1
goshen,14,6.01,4.59,,10.6
goshen,15,4.26,6.28,10.02,10.54
goshen,16,5.47,,,5.47
goshen,17,,,,0
goshen,18,3.48,7.38,,10.86
goshen,19,5.67,,,5.67
goshen,20,4.29,6.43,9.98,10.72
goshen,21,5.43,4.97,9.98,10.4
goshen,22,,,,0
goshen,23,,,,0
goshen,24,,,,0
jackson_mill,1,,,,0
jackson_mill,2,1.93,8.59,10.02,10.52
jackson_mill,3,1.98,8.52,,10.5
jackson_mill,4,2.27,8.84,9.98,11.11
jackson_mill,5,,8.2,,8.2
jackson_mill,6,2.58,8.31,10.02,10.89
jackson_mill,7,2.47,,,2.47
jackson_mill,8,2.18,7.92,9.98,10.1
jackson_mill,9,2.19,8.6,10.02,10.79
jackson_mill,10,2.53,,,2.53
jackson_mill,11,,,,0
jackson_mill,12,2.25,8.22,10.02,10.47
jackson_mill,13,1.53,,,1.53
jackson_mill,14,2.09,9.28,10.02,11.37
jackson_mill,15,2.36,,,2.36
jackson_mill,16,2.34,8.04,10,10.38
jackson_mill,17,,,,0
jackson_mill,18,2.16,8.84,10,11
jackson_mill,19,2.65,,,2.65
jackson_mill,20,3.18,8.78,9.98,11.96
jackson_mill,21,3.35,,,3.35
jackson_mill,22,2.36,,,2.36
jackson_mill,23,2.99,7.71,10.02,10.7
jackson_mill,24,1.96,,,1.96
reedsville,1,,7.82,10.02,7.82
reedsville,2,,,,0
reedsville,3,,7.11,,7.11
reedsville,4,,,,0
reedsville,5,2.68,,,2.68
reedsville,6,2.6,7.22,9.99,9.82
reedsville,7,,,,0
reedsville,8,,,,0
reedsville,9,2.89,7.61,10.01,10.5
reedsville,10,2.43,,,2.43
reedsville,11,1.83,,,1.83
reedsville,12,2.07,,,2.07
reedsville,13,1.72,8.58,10.01,10.3
reedsville,14,4.42,,,4.42
reedsville,15,,,,0
reedsville,16,3.01,,,3.01
reedsville,17,3.26,7.36,10.01,10.62
reedsville,18,,,,0
reedsville,19,2.95,6.79,10.01,9.74
reedsville,20,1.84,,,1.84
reedsville,21,1.87,,,1.87
reedsville,22,2.74,8.57,,11.31
reedsville,23,2.51,7.79,9.99,10.3
reedsville,24,3.37,7.42,9.98,10.79
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
