"site","plot","subsample_weight","POM + MAOM","fraction","fraction_weight_g","crop","treatment","ratio"
"Agronomy Farm","1",10.01,10.4,"MAOM",8.75,"W","F",0.841346153846154
"Agronomy Farm","1",10.01,10.4,"POM",1.65,"W","F",0.158653846153846
"Agronomy Farm","10",9.99,10.32,"MAOM",8.89,"S","F",0.861434108527132
"Agronomy Farm","10",9.99,10.32,"POM",1.43,"S","F",0.138565891472868
"Agronomy Farm","11",9.99,10.39,"MAOM",8.42,"S","B",0.810394610202117
"Agronomy Farm","11",9.99,10.39,"POM",1.97,"S","B",0.189605389797883
"Agronomy Farm","12",9.98,9.92,"MAOM",7.92,"S","C",0.798387096774194
"Agronomy Farm","12",9.98,9.92,"POM",2,"S","C",0.201612903225806
"Agronomy Farm","13",9.98,10.66,"MAOM",8.93,"S","C",0.837711069418386
"Agronomy Farm","13",9.98,10.66,"POM",1.73,"S","C",0.162288930581614
"Agronomy Farm","14",10.01,10.02,"MAOM",8.12,"S","F",0.810379241516966
"Agronomy Farm","14",10.01,10.02,"POM",1.9,"S","F",0.189620758483034
"Agronomy Farm","15",10,10.48,"MAOM",8.48,"S","B",0.809160305343511
"Agronomy Farm","15",10,10.48,"POM",2,"S","B",0.190839694656489
"Agronomy Farm","16",10,10.79,"MAOM",8.73,"W","B",0.809082483781279
"Agronomy Farm","16",10,10.79,"POM",2.06,"W","B",0.190917516218721
"Agronomy Farm","17",9.99,10.53,"MAOM",8.39,"W","F",0.796771130104463
"Agronomy Farm","17",9.99,10.53,"POM",2.14,"W","F",0.203228869895537
"Agronomy Farm","18",10.01,10.19,"MAOM",8.18,"W","C",0.802747791952895
"Agronomy Farm","18",10.01,10.19,"POM",2.01,"W","C",0.197252208047105
"Agronomy Farm","19",10.02,10.38,"MAOM",7.9,"S","F",0.761078998073218
"Agronomy Farm","19",10.02,10.38,"POM",2.48,"S","F",0.238921001926782
"Agronomy Farm","2",10,10.27,"MAOM",8.43,"W","B",0.820837390457644
"Agronomy Farm","2",10,10.27,"POM",1.84,"W","B",0.179162609542356
"Agronomy Farm","20",10.02,10.2,"MAOM",7.85,"S","C",0.769607843137255
"Agronomy Farm","20",10.02,10.2,"POM",2.35,"S","C",0.230392156862745
"Agronomy Farm","21",10,10.49,"MAOM",8.43,"S","B",0.803622497616778
"Agronomy Farm","21",10,10.49,"POM",2.06,"S","B",0.196377502383222
"Agronomy Farm","22",10.02,11.54,"MAOM",9.13,"W","C",0.791161178509532
"Agronomy Farm","22",10.02,11.54,"POM",2.41,"W","C",0.208838821490468
"Agronomy Farm","23",10.02,10.26,"MAOM",8.24,"W","B",0.803118908382066
"Agronomy Farm","23",10.02,10.26,"POM",2.02,"W","B",0.196881091617934
"Agronomy Farm","24",10,10.2,"MAOM",8.66,"W","F",0.849019607843137
"Agronomy Farm","24",10,10.2,"POM",1.54,"W","F",0.150980392156863
"Agronomy Farm","3",9.99,10.55,"MAOM",8.35,"W","C",0.791469194312796
"Agronomy Farm","3",9.99,10.55,"POM",2.2,"W","C",0.208530805687204
"Agronomy Farm","4",10.02,10.5,"MAOM",8.66,"S","B",0.824761904761905
"Agronomy Farm","4",10.02,10.5,"POM",1.84,"S","B",0.175238095238095
"Agronomy Farm","5",9.98,10.57,"MAOM",8.84,"S","F",0.836329233680227
"Agronomy Farm","5",9.98,10.57,"POM",1.73,"S","F",0.163670766319773
"Agronomy Farm","6",10.02,9.95,"MAOM",7.94,"S","C",0.797989949748744
"Agronomy Farm","6",10.02,9.95,"POM",2.01,"S","C",0.202010050251256
"Agronomy Farm","7",10.01,10.43,"MAOM",8.68,"W","B",0.832214765100671
"Agronomy Farm","7",10.01,10.43,"POM",1.75,"W","B",0.167785234899329
"Agronomy Farm","8",10.01,10.27,"MAOM",8.56,"W","C",0.833495618305745
"Agronomy Farm","8",10.01,10.27,"POM",1.71,"W","C",0.166504381694255
"Agronomy Farm","9",10.01,10.45,"MAOM",8.47,"W","F",0.810526315789474
"Agronomy Farm","9",10.01,10.45,"POM",1.98,"W","F",0.189473684210526
"Allstar Mine 1","1",10.02,10.75,"MAOM",6.58,"W","F",0.612093023255814
"Allstar Mine 1","1",10.02,10.75,"POM",4.17,"W","F",0.387906976744186
"Allstar Mine 1","10",9.98,10.08,"MAOM",6.61,"S","F",0.655753968253968
"Allstar Mine 1","10",9.98,10.08,"POM",3.47,"S","F",0.344246031746032
"Allstar Mine 1","11",10.02,10.71,"MAOM",7.05,"S","C",0.658263305322129
"Allstar Mine 1","11",10.02,10.71,"POM",3.66,"S","C",0.341736694677871
"Allstar Mine 1","12",10.02,10.3,"MAOM",7.05,"S","B",0.684466019417476
"Allstar Mine 1","12",10.02,10.3,"POM",3.25,"S","B",0.315533980582524
"Allstar Mine 1","13",10.02,10.2,"MAOM",6.8,"W","B",0.666666666666667
"Allstar Mine 1","13",10.02,10.2,"POM",3.4,"W","B",0.333333333333333
"Allstar Mine 1","14",9.99,9.77,"MAOM",6.48,"W","F",0.663254861821904
"Allstar Mine 1","14",9.99,9.77,"POM",3.29,"W","F",0.336745138178096
"Allstar Mine 1","15",10.02,10.16,"MAOM",6.67,"W","C",0.656496062992126
"Allstar Mine 1","15",10.02,10.16,"POM",3.49,"W","C",0.343503937007874
"Allstar Mine 1","16",10,10.47,"MAOM",7.1,"S","F",0.678127984718243
"Allstar Mine 1","16",10,10.47,"POM",3.37,"S","F",0.321872015281757
"Allstar Mine 1","17",10,10.35,"MAOM",7.5,"S","B",0.72463768115942
"Allstar Mine 1","17",10,10.35,"POM",2.85,"S","B",0.27536231884058
"Allstar Mine 1","18",9.99,10.52,"MAOM",7.05,"S","C",0.670152091254753
"Allstar Mine 1","18",9.99,10.52,"POM",3.47,"S","C",0.329847908745247
"Allstar Mine 1","19",9.98,10.51,"MAOM",6.59,"W","B",0.627021883920076
"Allstar Mine 1","19",9.98,10.51,"POM",3.92,"W","B",0.372978116079924
"Allstar Mine 1","2",9.99,10.42,"MAOM",6.81,"W","C",0.653550863723608
"Allstar Mine 1","2",9.99,10.42,"POM",3.61,"W","C",0.346449136276392
"Allstar Mine 1","20",9.99,10.18,"MAOM",6.15,"W","C",0.604125736738703
"Allstar Mine 1","20",9.99,10.18,"POM",4.03,"W","C",0.395874263261297
"Allstar Mine 1","21",10.02,10.31,"MAOM",6.56,"W","F",0.63627546071775
"Allstar Mine 1","21",10.02,10.31,"POM",3.75,"W","F",0.36372453928225
"Allstar Mine 1","22",10,10.44,"MAOM",6.39,"S","C",0.612068965517241
"Allstar Mine 1","22",10,10.44,"POM",4.05,"S","C",0.387931034482759
"Allstar Mine 1","23",10.02,9.61,"MAOM",6.4,"S","B",0.665972944849116
"Allstar Mine 1","23",10.02,9.61,"POM",3.21,"S","B",0.334027055150884
"Allstar Mine 1","24",10,8.51,"MAOM",4.88,"S","F",0.573443008225617
"Allstar Mine 1","24",10,8.51,"POM",3.63,"S","F",0.426556991774383
"Allstar Mine 1","3",10.02,10.4,"MAOM",7.12,"W","B",0.684615384615385
"Allstar Mine 1","3",10.02,10.4,"POM",3.28,"W","B",0.315384615384615
"Allstar Mine 1","4",10,10.2,"MAOM",6.63,"S","C",0.65
"Allstar Mine 1","4",10,10.2,"POM",3.57,"S","C",0.35
"Allstar Mine 1","5",10.02,9.72,"MAOM",5.64,"S","B",0.580246913580247
"Allstar Mine 1","5",10.02,9.72,"POM",4.08,"S","B",0.419753086419753
"Allstar Mine 1","6",9.98,10.51,"MAOM",6.83,"S","F",0.649857278782112
"Allstar Mine 1","6",9.98,10.51,"POM",3.68,"S","F",0.350142721217888
"Allstar Mine 1","7",9.99,10.09,"MAOM",6.77,"W","B",0.670961347869177
"Allstar Mine 1","7",9.99,10.09,"POM",3.32,"W","B",0.329038652130823
"Allstar Mine 1","8",10.01,10.1,"MAOM",6.54,"W","C",0.647524752475248
"Allstar Mine 1","8",10.01,10.1,"POM",3.56,"W","C",0.352475247524753
"Allstar Mine 1","9",10.01,10.68,"MAOM",6.85,"W","F",0.641385767790262
"Allstar Mine 1","9",10.01,10.68,"POM",3.83,"W","F",0.358614232209738
"Allstar Mine 2","1",10.01,10.36,"MAOM",7.05,"W","F",0.680501930501931
"Allstar Mine 2","1",10.01,10.36,"POM",3.31,"W","F",0.31949806949807
"Allstar Mine 2","10",10.01,10.2,"MAOM",7.45,"S","B",0.730392156862745
"Allstar Mine 2","10",10.01,10.2,"POM",2.75,"S","B",0.269607843137255
"Allstar Mine 2","11",10,9.73,"MAOM",7.02,"S","F",0.721479958890031
"Allstar Mine 2","11",10,9.73,"POM",2.71,"S","F",0.278520041109969
"Allstar Mine 2","12",10.02,10.46,"MAOM",7.67,"S","C",0.733269598470363
"Allstar Mine 2","12",10.02,10.46,"POM",2.79,"S","C",0.266730401529637
"Allstar Mine 2","13",9.99,10.47,"MAOM",6.61,"S","C",0.631327602674308
"Allstar Mine 2","13",9.99,10.47,"POM",3.86,"S","C",0.368672397325692
"Allstar Mine 2","14",10.02,10.55,"MAOM",7.14,"S","F",0.676777251184834
"Allstar Mine 2","14",10.02,10.55,"POM",3.41,"S","F",0.323222748815166
"Allstar Mine 2","15",10.02,10.11,"MAOM",6.51,"S","B",0.643916913946588
"Allstar Mine 2","15",10.02,10.11,"POM",3.6,"S","B",0.356083086053412
"Allstar Mine 2","16",9.99,10.57,"MAOM",6.79,"W","B",0.642384105960265
"Allstar Mine 2","16",9.99,10.57,"POM",3.78,"W","B",0.357615894039735
"Allstar Mine 2","17",10.02,6.28,"MAOM",6.28,"W","C",1
"Allstar Mine 2","17",10.02,6.28,"POM",NA,"W","C",NA
"Allstar Mine 2","18",10,10.17,"MAOM",7.09,"W","F",0.697148475909538
"Allstar Mine 2","18",10,10.17,"POM",3.08,"W","F",0.302851524090462
"Allstar Mine 2","2",10,10.45,"MAOM",6.74,"W","B",0.644976076555024
"Allstar Mine 2","2",10,10.45,"POM",3.71,"W","B",0.355023923444976
"Allstar Mine 2","3",10.02,10.09,"MAOM",7.69,"W","C",0.762140733399405
"Allstar Mine 2","3",10.02,10.09,"POM",2.4,"W","C",0.237859266600595
"Allstar Mine 2","4",9.99,10.48,"MAOM",7.66,"S","B",0.730916030534351
"Allstar Mine 2","4",9.99,10.48,"POM",2.82,"S","B",0.269083969465649
"Allstar Mine 2","5",9.99,10.4,"MAOM",7.48,"S","F",0.719230769230769
"Allstar Mine 2","5",9.99,10.4,"POM",2.92,"S","F",0.280769230769231
"Allstar Mine 2","6",10.02,10.53,"MAOM",7.96,"S","C",0.755935422602089
"Allstar Mine 2","6",10.02,10.53,"POM",2.57,"S","C",0.244064577397911
"Allstar Mine 2","7",10.01,10.3,"MAOM",7.29,"W","C",0.707766990291262
"Allstar Mine 2","7",10.01,10.3,"POM",3.01,"W","C",0.292233009708738
"Allstar Mine 2","8",10.02,10.44,"MAOM",7.04,"W","B",0.674329501915709
"Allstar Mine 2","8",10.02,10.44,"POM",3.4,"W","B",0.325670498084291
"Allstar Mine 2","9",9.99,10.68,"MAOM",7.47,"W","F",0.699438202247191
"Allstar Mine 2","9",9.99,10.68,"POM",3.21,"W","F",0.300561797752809
"Goshen Road","1",9.98,9.88,"MAOM",5.48,"S","C",0.554655870445344
"Goshen Road","1",9.98,9.88,"POM",4.4,"S","C",0.445344129554656
"Goshen Road","10",10,10.1,"MAOM",5.18,"S","F",0.512871287128713
"Goshen Road","10",10,10.1,"POM",4.92,"S","F",0.487128712871287
"Goshen Road","11",10,10.55,"MAOM",5.18,"S","B",0.490995260663507
"Goshen Road","11",10,10.55,"POM",5.37,"S","B",0.509004739336493
"Goshen Road","12",10,10.38,"MAOM",5.18,"S","C",0.499036608863199
"Goshen Road","12",10,10.38,"POM",5.2,"S","C",0.500963391136802
"Goshen Road","13",9.99,10.76,"MAOM",4.58,"S","C",0.425650557620818
"Goshen Road","13",9.99,10.76,"POM",6.18,"S","C",0.574349442379182
"Goshen Road","14",10,10.6,"MAOM",4.48,"S","B",0.422641509433962
"Goshen Road","14",10,10.6,"POM",6.12,"S","B",0.577358490566038
"Goshen Road","15",9.99,10.04,"MAOM",6.61,"S","F",0.658366533864542
"Goshen Road","15",9.99,10.04,"POM",3.43,"S","F",0.341633466135458
"Goshen Road","16",10,10.33,"MAOM",4.78,"W","F",0.462729912875121
"Goshen Road","16",10,10.33,"POM",5.55,"W","F",0.537270087124879
"Goshen Road","17",10.01,10.65,"MAOM",5.61,"W","B",0.526760563380282
"Goshen Road","17",10.01,10.65,"POM",5.04,"W","B",0.473239436619718
"Goshen Road","18",9.99,10.39,"MAOM",5.56,"W","C",0.535129932627526
"Goshen Road","18",9.99,10.39,"POM",4.83,"W","C",0.464870067372473
"Goshen Road","19",9.989,9.91,"MAOM",4.85,"S","C",0.489404641775984
"Goshen Road","19",9.989,9.91,"POM",5.06,"S","C",0.510595358224016
"Goshen Road","2",10.01,10.18,"MAOM",6.04,"S","B",0.593320235756385
"Goshen Road","2",10.01,10.18,"POM",4.14,"S","B",0.406679764243615
"Goshen Road","20",10,10.64,"MAOM",6.44,"S","F",0.605263157894737
"Goshen Road","20",10,10.64,"POM",4.2,"S","F",0.394736842105263
"Goshen Road","21",9.98,10.29,"MAOM",4.96,"S","B",0.482021379980564
"Goshen Road","21",9.98,10.29,"POM",5.33,"S","B",0.517978620019436
"Goshen Road","22",9.98,9.54,"MAOM",5.15,"W","B",0.539832285115304
"Goshen Road","22",9.98,9.54,"POM",4.39,"W","B",0.460167714884696
"Goshen Road","23",10.01,11.11,"MAOM",5.77,"W","F",0.519351935193519
"Goshen Road","23",10.01,11.11,"POM",5.34,"W","F",0.480648064806481
"Goshen Road","24",10,10.45,"MAOM",4.54,"W","C",0.43444976076555
"Goshen Road","24",10,10.45,"POM",5.91,"W","C",0.56555023923445
"Goshen Road","3",9.99,10.49,"MAOM",6.17,"S","F",0.588179218303146
"Goshen Road","3",9.99,10.49,"POM",4.32,"S","F",0.411820781696854
"Goshen Road","4",10.02,10.92,"MAOM",6.91,"W","C",0.632783882783883
"Goshen Road","4",10.02,10.92,"POM",4.01,"W","C",0.367216117216117
"Goshen Road","5",10.01,9.65,"MAOM",6.34,"W","B",0.65699481865285
"Goshen Road","5",10.01,9.65,"POM",3.31,"W","B",0.34300518134715
"Goshen Road","6",10.02,11.68,"MAOM",6.84,"W","F",0.585616438356164
"Goshen Road","6",10.02,11.68,"POM",4.84,"W","F",0.414383561643836
"Goshen Road","7",10.02,10.45,"MAOM",5.64,"W","B",0.539712918660287
"Goshen Road","7",10.02,10.45,"POM",4.81,"W","B",0.460287081339713
"Goshen Road","8",10.01,10.71,"MAOM",6.07,"W","C",0.566760037348273
"Goshen Road","8",10.01,10.71,"POM",4.64,"W","C",0.433239962651727
"Goshen Road","9",10.02,10.44,"MAOM",5.46,"W","F",0.522988505747126
"Goshen Road","9",10.02,10.44,"POM",4.98,"W","F",0.477011494252874
"Jackson Mill","1",10.02,10.48,"MAOM",8.39,"W","B",0.80057251908397
"Jackson Mill","1",10.02,10.48,"POM",2.09,"W","B",0.199427480916031
"Jackson Mill","10",10,10.41,"MAOM",7.39,"W","F",0.709894332372718
"Jackson Mill","10",10,10.41,"POM",3.02,"W","F",0.290105667627281
"Jackson Mill","11",9.98,10.79,"MAOM",8.89,"W","C",0.823911028730306
"Jackson Mill","11",9.98,10.79,"POM",1.9,"W","C",0.176088971269694
"Jackson Mill","12",10.02,10.85,"MAOM",8.17,"W","B",0.752995391705069
"Jackson Mill","12",10.02,10.85,"POM",2.68,"W","B",0.247004608294931
"Jackson Mill","13",10.02,10.41,"MAOM",9.04,"S","B",0.868395773294909
"Jackson Mill","13",10.02,10.41,"POM",1.37,"S","B",0.131604226705091
"Jackson Mill","14",9.99,10.57,"MAOM",8.87,"S","F",0.839167455061495
"Jackson Mill","14",9.99,10.57,"POM",1.7,"S","F",0.160832544938505
"Jackson Mill","15",10.02,10.58,"MAOM",8.5,"S","C",0.803402646502836
"Jackson Mill","15",10.02,10.58,"POM",2.08,"S","C",0.196597353497164
"Jackson Mill","16",10.01,10.49,"MAOM",8.6,"W","B",0.819828408007626
"Jackson Mill","16",10.01,10.49,"POM",1.89,"W","B",0.180171591992374
"Jackson Mill","17",9.99,10.61,"MAOM",8.45,"W","F",0.796418473138549
"Jackson Mill","17",9.99,10.61,"POM",2.16,"W","F",0.203581526861451
"Jackson Mill","18",10.01,10.82,"MAOM",8.33,"W","C",0.769870609981516
"Jackson Mill","18",10.01,10.82,"POM",2.49,"W","C",0.230129390018484
"Jackson Mill","19",10.02,10.28,"MAOM",8.11,"W","F",0.788910505836576
"Jackson Mill","19",10.02,10.28,"POM",2.17,"W","F",0.211089494163424
"Jackson Mill","2",10.02,10.54,"MAOM",8.49,"W","F",0.80550284629981
"Jackson Mill","2",10.02,10.54,"POM",2.05,"W","F",0.19449715370019
"Jackson Mill","20",10.01,10.64,"MAOM",7.97,"W","B",0.74906015037594
"Jackson Mill","20",10.01,10.64,"POM",2.67,"W","B",0.25093984962406
"Jackson Mill","21",10.02,10.29,"MAOM",7.61,"W","C",0.73955296404276
"Jackson Mill","21",10.02,10.29,"POM",2.68,"W","C",0.26044703595724
"Jackson Mill","22",10,10.4,"MAOM",8,"S","C",0.769230769230769
"Jackson Mill","22",10,10.4,"POM",2.4,"S","C",0.230769230769231
"Jackson Mill","23",10.01,10.54,"MAOM",8.2,"S","F",0.777988614800759
"Jackson Mill","23",10.01,10.54,"POM",2.34,"S","F",0.222011385199241
"Jackson Mill","24",9.98,10.54,"MAOM",8.36,"S","B",0.793168880455408
"Jackson Mill","24",9.98,10.54,"POM",2.18,"S","B",0.206831119544592
"Jackson Mill","3",10.01,9.92,"MAOM",7.99,"W","C",0.805443548387097
"Jackson Mill","3",10.01,9.92,"POM",1.93,"W","C",0.194556451612903
"Jackson Mill","4",9.98,10.69,"MAOM",8.45,"S","F",0.790458372310571
"Jackson Mill","4",9.98,10.69,"POM",2.24,"S","F",0.209541627689429
"Jackson Mill","5",10.02,11.26,"MAOM",9.49,"S","B",0.842806394316163
"Jackson Mill","5",10.02,11.26,"POM",1.77,"S","B",0.157193605683837
"Jackson Mill","6",10.02,10.68,"MAOM",8.46,"S","C",0.792134831460674
"Jackson Mill","6",10.02,10.68,"POM",2.22,"S","C",0.207865168539326
"Jackson Mill","7",10.01,10.13,"MAOM",8.02,"S","B",0.791707798617966
"Jackson Mill","7",10.01,10.13,"POM",2.11,"S","B",0.208292201382034
"Jackson Mill","8",9.99,10.4,"MAOM",8.51,"S","C",0.818269230769231
"Jackson Mill","8",9.99,10.4,"POM",1.89,"S","C",0.181730769230769
"Jackson Mill","9",10.01,10.42,"MAOM",8.32,"S","F",0.798464491362764
"Jackson Mill","9",10.01,10.42,"POM",2.1,"S","F",0.201535508637236
"Reedsville","1",10.01,11.45,"MAOM",7.93,"S","C",0.692576419213974
"Reedsville","1",10.01,11.45,"POM",3.52,"S","C",0.307423580786026
"Reedsville","10",9.99,9.96,"MAOM",7.66,"W","B",0.769076305220883
"Reedsville","10",9.99,9.96,"POM",2.3,"W","B",0.230923694779116
"Reedsville","11",10.01,10.35,"MAOM",8.52,"W","F",0.823188405797101
"Reedsville","11",10.01,10.35,"POM",1.83,"W","F",0.176811594202899
"Reedsville","12",10.02,10.12,"MAOM",8.16,"W","C",0.806324110671937
"Reedsville","12",10.02,10.12,"POM",1.96,"W","C",0.193675889328063
"Reedsville","13",10.01,10.14,"MAOM",8.21,"W","F",0.809664694280079
"Reedsville","13",10.01,10.14,"POM",1.93,"W","F",0.190335305719921
"Reedsville","14",9.99,10.88,"MAOM",7.43,"W","B",0.682904411764706
"Reedsville","14",9.99,10.88,"POM",3.45,"W","B",0.317095588235294
"Reedsville","15",10.01,10.21,"MAOM",7,"W","C",0.685602350636631
"Reedsville","15",10.01,10.21,"POM",3.21,"W","C",0.314397649363369
"Reedsville","16",10.02,10.93,"MAOM",7.54,"S","C",0.689844464775846
"Reedsville","16",10.02,10.93,"POM",3.39,"S","C",0.310155535224154
"Reedsville","17",9.99,10.15,"MAOM",6.8,"S","F",0.669950738916256
"Reedsville","17",9.99,10.15,"POM",3.35,"S","F",0.330049261083744
"Reedsville","18",9.99,10.56,"MAOM",7.74,"S","B",0.732954545454545
"Reedsville","18",9.99,10.56,"POM",2.82,"S","B",0.267045454545455
"Reedsville","19",10.02,10.22,"MAOM",7.61,"W","F",0.744618395303327
"Reedsville","19",10.02,10.22,"POM",2.61,"W","F",0.255381604696673
"Reedsville","2",10.01,9.22,"MAOM",6.6,"S","F",0.715835140997831
"Reedsville","2",10.01,9.22,"POM",2.62,"S","F",0.284164859002169
"Reedsville","20",9.98,9.93,"MAOM",8.11,"W","C",0.816717019133938
"Reedsville","20",9.98,9.93,"POM",1.82,"W","C",0.183282980866062
"Reedsville","21",9.98,10.4,"MAOM",8.16,"W","B",0.784615384615385
"Reedsville","21",9.98,10.4,"POM",2.24,"W","B",0.215384615384615
"Reedsville","22",9.99,10.48,"MAOM",7.47,"S","B",0.712786259541985
"Reedsville","22",9.99,10.48,"POM",3.01,"S","B",0.287213740458015
"Reedsville","23",10.02,10.44,"MAOM",7.59,"S","F",0.727011494252874
"Reedsville","23",10.02,10.44,"POM",2.85,"S","F",0.272988505747126
"Reedsville","24",9.99,10.79,"MAOM",7.27,"S","C",0.673772011121409
"Reedsville","24",9.99,10.79,"POM",3.52,"S","C",0.326227988878591
"Reedsville","3",10.01,9.68,"MAOM",7.45,"S","B",0.769628099173554
"Reedsville","3",10.01,9.68,"POM",2.23,"S","B",0.230371900826446
"Reedsville","4",9.98,10.71,"MAOM",7.84,"W","F",0.73202614379085
"Reedsville","4",9.98,10.71,"POM",2.87,"W","F",0.26797385620915
"Reedsville","5",10.02,8.79,"MAOM",6.09,"W","B",0.69283276450512
"Reedsville","5",10.02,8.79,"POM",2.7,"W","B",0.307167235494881
"Reedsville","6",10,10.25,"MAOM",7.83,"W","C",0.76390243902439
"Reedsville","6",10,10.25,"POM",2.42,"W","C",0.23609756097561
"Reedsville","7",9.99,10.54,"MAOM",7.54,"S","B",0.715370018975332
"Reedsville","7",9.99,10.54,"POM",3,"S","B",0.284629981024668
"Reedsville","8",10.02,10.55,"MAOM",7.31,"S","F",0.692890995260663
"Reedsville","8",10.02,10.55,"POM",3.24,"S","F",0.307109004739336
"Reedsville","9",9.99,10.21,"MAOM",7.16,"S","C",0.701273261508325
"Reedsville","9",9.99,10.21,"POM",3.05,"S","C",0.298726738491675
