site,plot,weight,poxc
agronomy_farm,1,2.48,896.6032258
agronomy_farm,1,2.5,897.336
agronomy_farm,1,2.48,820.8943548
agronomy_farm,2,2.47,897.1214575
agronomy_farm,2,2.53,834.7588933
agronomy_farm,2,2.53,892.2806324
agronomy_farm,3,2.49,1156.684337
agronomy_farm,3,2.48,1161.348387
agronomy_farm,3,2.54,1301.853543
agronomy_farm,4,2.49,552.9253012
agronomy_farm,4,2.53,609.2537549
agronomy_farm,4,2.49,591.8168675
agronomy_farm,5,2.46,618.5560976
agronomy_farm,5,2.48,613.5677419
agronomy_farm,5,2.47,566.4097166
agronomy_farm,6,2.49,891.513253
agronomy_farm,6,2.46,770.5463415
agronomy_farm,6,2.49,848.0963855
agronomy_farm,7,2.5,487.1232
agronomy_farm,7,2.5,534.4848
agronomy_farm,7,2.48,660.3241935
agronomy_farm,8,2.47,668.6672065
agronomy_farm,8,2.5,588.1824
agronomy_farm,8,2.47,530.6137652
agronomy_farm,9,2.55,650.0470588
agronomy_farm,9,2.52,669.3142857
agronomy_farm,9,2.49,673.4891566
agronomy_farm,10,2.53,604.6007905
agronomy_farm,10,2.55,637.3411765
agronomy_farm,10,2.48,835.1854839
agronomy_farm,11,2.53,528.4031621
agronomy_farm,11,2.48,598.2822581
agronomy_farm,11,2.45,586.8734694
agronomy_farm,13,2.55,900.6917647
agronomy_farm,13,2.47,788.7206478
agronomy_farm,13,2.55,729.7976471
agronomy_farm,14,2.5,777.2688
agronomy_farm,14,2.5,701.8416
agronomy_farm,14,2.48,669.483871
agronomy_farm,15,2.45,971.4122449
agronomy_farm,15,2.55,981.4023529
agronomy_farm,15,2.52,1034.257143
agronomy_farm,12,2.45,343.2342857
agronomy_farm,12,2.53,457.6837945
agronomy_farm,12,2.52,410.0785714
agronomy_farm,16,2.53,513.5620553
agronomy_farm,16,2.52,546.3428571
agronomy_farm,16,2.53,532.7003953
agronomy_farm,17,2.55,747.9811765
agronomy_farm,17,2.55,727.0870588
agronomy_farm,17,2.48,739.016129
agronomy_farm,18,2.53,697.8023715
agronomy_farm,18,2.52,667.5714286
agronomy_farm,18,2.5,678.456
agronomy_farm,19,2.45,818.875102
agronomy_farm,19,2.54,808.9228346
agronomy_farm,19,2.49,899.060241
agronomy_farm,20,2.5,379.3896
agronomy_farm,20,2.49,479.6746988
agronomy_farm,20,2.51,373.4247012
agronomy_farm,21,2.47,615.0753036
agronomy_farm,21,2.51,664.8669323
agronomy_farm,21,2.51,660.8940239
agronomy_farm,22,2.53,677.1699605
agronomy_farm,22,2.45,684.2938776
agronomy_farm,22,2.48,805.5725806
agronomy_farm,23,2.45,472.2097959
agronomy_farm,23,2.47,583.8850202
agronomy_farm,23,2.55,457.8352941
agronomy_farm,24,2.47,555.3182186
agronomy_farm,24,2.49,547.5180723
agronomy_farm,24,2.47,666.4226721
allstar_mine_1,1,2.55,1266.211765
allstar_mine_1,1,2.46,1278.029268
allstar_mine_1,1,2.46,1151.502439
allstar_mine_1,2,2.45,836.6693878
allstar_mine_1,2,2.47,753.5222672
allstar_mine_1,2,2.47,1001.732794
allstar_mine_1,3,2.48,1001.641935
allstar_mine_1,3,2.51,916.5011952
allstar_mine_1,3,2.45,1029.688163
allstar_mine_1,4,2.47,1284.558704
allstar_mine_1,4,2.45,1257.57551
allstar_mine_1,4,2.45,1257.57551
allstar_mine_1,5,2.47,1273.059109
allstar_mine_1,5,2.47,991.2242915
allstar_mine_1,5,2.45,1208.924082
allstar_mine_1,6,2.55,1153.948235
allstar_mine_1,6,2.45,1133.103673
allstar_mine_1,6,2.47,1144.989474
allstar_mine_1,7,2.46,1044.409756
allstar_mine_1,7,2.48,981.6387097
allstar_mine_1,7,2.55,1101.063529
allstar_mine_1,8,2.48,1199.104839
allstar_mine_1,8,2.48,1291.398387
allstar_mine_1,8,2.48,1215.885484
allstar_mine_1,18,2.52,843
allstar_mine_1,18,2.51,770.1992032
allstar_mine_1,18,2.48,779.516129
allstar_mine_1,9,2.51,918.2868526
allstar_mine_1,9,2.55,878.8941176
allstar_mine_1,9,2.47,924.5587045
allstar_mine_1,10,2.45,1323.742041
allstar_mine_1,10,2.45,1319.510204
allstar_mine_1,10,2.47,1342.406478
allstar_mine_1,11,2.5,1112.4576
allstar_mine_1,11,2.51,1116.516335
allstar_mine_1,11,2.5,1133.7696
allstar_mine_1,12,2.46,952.1268293
allstar_mine_1,12,2.53,1022.713043
allstar_mine_1,12,2.51,989.5266932
allstar_mine_1,13,2.5,1193.148
allstar_mine_1,13,2.55,1125.917647
allstar_mine_1,13,2.47,1311.726316
allstar_mine_1,14,2.46,835.3756098
allstar_mine_1,14,2.52,1012.55
allstar_mine_1,14,2.45,886.2244898
allstar_mine_1,15,2.51,1129.984064
allstar_mine_1,15,2.52,1117.657143
allstar_mine_1,15,2.45,1145.556735
allstar_mine_1,16,2.5,975.06
allstar_mine_1,16,2.5,983.376
allstar_mine_1,16,2.53,853.9328063
allstar_mine_1,17,2.51,1100.23745
allstar_mine_1,17,2.52,1088.185714
allstar_mine_1,17,2.54,927.1133858
allstar_mine_1,19,2.45,1285.978776
allstar_mine_1,19,2.46,1361.107317
allstar_mine_1,19,2.52,1357.6
allstar_mine_1,20,2.45,956.9828571
allstar_mine_1,20,2.53,933.2964427
allstar_mine_1,20,2.46,946.3317073
allstar_mine_1,21,2.48,1151.709677
allstar_mine_1,21,2.54,1124.503937
allstar_mine_1,21,2.5,1106.2656
allstar_mine_1,22,2.49,1215.325301
allstar_mine_1,22,2.47,1229.523887
allstar_mine_1,22,2.55,1220.498824
allstar_mine_1,23,2.45,1238.767347
allstar_mine_1,23,2.47,1184.327126
allstar_mine_1,23,2.51,1129.697211
allstar_mine_1,24,2.5,1339.3296
allstar_mine_1,24,2.5,1364.2992
allstar_mine_1,24,2.45,1328.444082
allstar_mine_1,offsite 1,2.46,875.3268293
allstar_mine_1,offsite 1,2.48,850.5217742
allstar_mine_1,offsite 1,2.48,832.7758065
allstar_mine_1,offsite 2,2.53,191.8814229
allstar_mine_1,offsite 2,2.45,575.4416327
allstar_mine_1,offsite 2,2.5,600.4512
allstar_mine_1,offsite 3,2.45,1207.403265
allstar_mine_1,offsite 3,2.51,1363.482072
allstar_mine_1,offsite 3,2.49,1397.168675
allstar_mine_2,1,2.46,1314.585366
allstar_mine_2,1,2.52,1295.671429
allstar_mine_2,1,2.48,1207.495161
allstar_mine_2,2,2.45,751.9738776
allstar_mine_2,2,2.46,737.4146341
allstar_mine_2,2,2.45,836.6693878
allstar_mine_2,3,2.48,1075.790323
allstar_mine_2,3,2.53,1112.58498
allstar_mine_2,3,2.5,1166.328
allstar_mine_2,4,2.45,681.7077551
allstar_mine_2,4,2.51,708.7195219
allstar_mine_2,4,2.55,651.0988235
allstar_mine_2,5,2.46,1124.282927
allstar_mine_2,5,2.48,1079.027419
allstar_mine_2,5,2.47,1111.65668
allstar_mine_2,6,2.46,864.1463415
allstar_mine_2,6,2.52,860.0714286
allstar_mine_2,6,2.51,838.6494024
allstar_mine_2,7,2.53,871.9826087
allstar_mine_2,7,2.46,968.3560976
allstar_mine_2,7,2.47,807.6388664
allstar_mine_2,8,2.5,1070.0352
allstar_mine_2,8,2.52,1034.585714
allstar_mine_2,8,2.53,945.4695652
allstar_mine_2,9,2.47,1028.259109
allstar_mine_2,9,2.5,1051.4952
allstar_mine_2,9,2.53,1093.709881
allstar_mine_2,10,2.49,1230.53494
allstar_mine_2,10,2.48,1235.496774
allstar_mine_2,10,2.5,1225.6128
allstar_mine_2,11,2.51,881.8780876
allstar_mine_2,11,2.48,969.2346774
allstar_mine_2,11,2.5,792.4248
allstar_mine_2,12,2.47,1005.08502
allstar_mine_2,12,2.53,927.1209486
allstar_mine_2,12,2.46,860.7219512
allstar_mine_2,13,2.48,1188.725806
allstar_mine_2,13,2.48,1254.984677
allstar_mine_2,13,2.45,1171.719184
allstar_mine_2,14,2.45,637.92
allstar_mine_2,14,2.47,652.9554656
allstar_mine_2,14,2.5,661.752
allstar_mine_2,15,2.47,860.6477733
allstar_mine_2,15,2.5,902.988
allstar_mine_2,15,2.46,866.9634146
allstar_mine_2,16,2.48,463.7758065
allstar_mine_2,16,2.48,569.0104839
allstar_mine_2,16,2.5,552.8592
allstar_mine_2,17,2.48,512.6008065
allstar_mine_2,17,2.45,573.9795918
allstar_mine_2,17,2.5,769.5
allstar_mine_2,18,2.48,576.116129
allstar_mine_2,18,2.5,608.832
allstar_mine_2,18,2.48,868.7612903
allstar_mine_2,offsite 1,2.46,1105.317073
allstar_mine_2,offsite 1,2.48,1134.943548
allstar_mine_2,offsite 1,2.51,1100.223108
allstar_mine_2,offsite 2,2.52,1207.264286
allstar_mine_2,offsite 2,2.52,1102.478571
allstar_mine_2,offsite 2,2.53,917.2102767
allstar_mine_2,offsite 3,2.52,896.4
allstar_mine_2,offsite 3,2.5,889.488
allstar_mine_2,offsite 3,2.53,1143.348617
goshen,1,2.45,852.5020408
goshen,1,2.53,790.2
goshen,1,2.52,842.1285714
goshen,2,2.53,708.1612648
goshen,2,2.49,869.4361446
goshen,2,2.49,794.486747
goshen,3,2.45,597.2767347
goshen,3,2.55,358.3905882
goshen,3,2.48,555.9677419
goshen,4,2.55,750.0282353
goshen,4,2.45,699.957551
goshen,4,2.54,744.7889764
goshen,5,2.55,384.0705882
goshen,5,2.55,441.5858824
goshen,5,2.51,344.2804781
goshen,6,2.47,718.6299595
goshen,6,2.46,447.8487805
goshen,6,2.49,763.2722892
goshen,7,2.54,1028.990551
goshen,7,2.47,952.1198381
goshen,7,2.52,1016.371429
goshen,8,2.55,763.9341176
goshen,8,2.5,675.504
goshen,8,2.45,795.115102
goshen,9,2.48,1094.697581
goshen,9,2.49,1223.891566
goshen,9,2.45,1272.159184
goshen,10,2.55,1297.058824
goshen,10,2.47,1380.060729
goshen,10,2.45,1180.102041
goshen,11,2.5,593.7408
goshen,11,2.53,701.5090909
goshen,11,2.53,475.370751
goshen,12,2.49,948.5638554
goshen,12,2.48,1008.174194
goshen,12,2.46,1024.404878
goshen,13,2.48,1327.746774
goshen,13,2.5,1371.9024
goshen,13,2.47,1365.463968
goshen,14,2.53,1138.396838
goshen,14,2.53,1072.600791
goshen,14,2.49,1119.079518
goshen,15,2.51,267.4326693
goshen,15,2.53,332.7083004
goshen,15,2.5,387.8496
goshen,16,2.53,1125.106719
goshen,16,2.49,1159.951807
goshen,16,2.49,1076.096386
goshen,17,2.48,829.7274194
goshen,17,2.49,750.3036145
goshen,17,2.54,778.719685
goshen,18,2.5,826.5096
goshen,18,2.46,1044.42439
goshen,18,2.51,987.9920319
goshen,19,2.45,1377.183673
goshen,19,2.53,1422
goshen,19,2.53,1377.818182
goshen,20,2.47,586.6979757
goshen,20,2.49,688.973494
goshen,20,2.55,752.16
goshen,21,2.53,684.4268775
goshen,21,2.45,590.6204082
goshen,21,2.52,552.3571429
goshen,22,2.46,1124.253659
goshen,22,2.46,1046.012195
goshen,22,2.47,1000.523077
goshen,23,2.53,936.9675889
goshen,23,2.47,936.8161943
goshen,23,2.45,890.5665306
goshen,24,2.55,1193.392941
goshen,24,2.54,1103.229921
goshen,24,2.5,1154.4048
goshen,offsite 1,2.49,897.4481928
goshen,offsite 1,2.51,919.7641434
goshen,offsite 1,2.5,1016.424
goshen,Offsite 2,2.46,1025.560976
goshen,Offsite 2,2.54,968.5984252
goshen,Offsite 2,2.52,1113
goshen,offsite 3,2.53,871.5699605
goshen,offsite 3,2.51,836.7776892
goshen,offsite 3,2.51,782.5195219
jackson_mill,1,2.5,719.6256
jackson_mill,1,2.48,708.0677419
jackson_mill,1,2.5,693.792
jackson_mill,2,2.48,1203.212903
jackson_mill,2,2.49,1127.595181
jackson_mill,2,2.53,1105.669565
jackson_mill,3,2.55,719.1176471
jackson_mill,3,2.47,833.5020243
jackson_mill,3,2.5,792
jackson_mill,4,2.45,1082.527347
jackson_mill,4,2.47,1119.935223
jackson_mill,4,2.51,1048.388845
jackson_mill,5,2.49,951.0361446
jackson_mill,5,2.45,907.2514286
jackson_mill,5,2.5,920.4048
jackson_mill,6,2.53,641.1628458
jackson_mill,6,2.47,720.9109312
jackson_mill,6,2.55,724.9341176
jackson_mill,7,2.46,559.7268293
jackson_mill,7,2.53,654.8869565
jackson_mill,7,2.51,585.752988
jackson_mill,8,2.47,924.4712551
jackson_mill,8,2.47,924.4712551
jackson_mill,8,2.5,934.9056
jackson_mill,9,2.53,1007.359684
jackson_mill,9,2.52,985.8571429
jackson_mill,9,2.51,1125.10757
jackson_mill,10,2.47,958.8461538
jackson_mill,10,2.46,1002.182927
jackson_mill,10,2.53,947.0632411
jackson_mill,11,2.47,746.0380567
jackson_mill,11,2.47,804.8696356
jackson_mill,11,2.54,685.8708661
jackson_mill,12,2.47,806.7206478
jackson_mill,12,2.52,904.8857143
jackson_mill,12,2.49,881.5518072
jackson_mill,13,2.47,677.4412955
jackson_mill,13,2.49,763.9228916
jackson_mill,13,2.51,836.5912351
jackson_mill,14,2.49,793.1710843
jackson_mill,14,2.47,934.3821862
jackson_mill,14,2.48,876.0774194
jackson_mill,15,2.5,887.976
jackson_mill,15,2.55,799.7647059
jackson_mill,15,2.48,937.9596774
jackson_mill,16,2.52,700.8
jackson_mill,16,2.54,677.9551181
jackson_mill,16,2.54,806.1732283
jackson_mill,17,2.48,439.0693548
jackson_mill,17,2.48,549.7258065
jackson_mill,17,2.52,537.7
jackson_mill,18,2.51,626.0414343
jackson_mill,18,2.45,580.8710204
jackson_mill,18,2.55,662.7247059
jackson_mill,19,2.47,528.9959514
jackson_mill,19,2.5,611.856
jackson_mill,19,2.52,577.5
jackson_mill,20,2.54,868.5496063
jackson_mill,20,2.49,868.3156627
jackson_mill,20,2.54,653.6976378
jackson_mill,21,2.47,1376.329555
jackson_mill,21,2.51,1322.899602
jackson_mill,21,2.51,1393.766534
jackson_mill,22,2.49,781.6048193
jackson_mill,22,2.48,945.8129032
jackson_mill,22,2.5,819.5616
jackson_mill,23,2.53,619.1146245
jackson_mill,23,2.48,855.0290323
jackson_mill,23,2.49,616.2216867
jackson_mill,24,2.5,1167.84
jackson_mill,24,2.49,900
jackson_mill,24,2.52,1092.285714
jackson_mill,offsite 1,2.46,1234.712195
jackson_mill,offsite 1,2.5,1237.6008
jackson_mill,offsite 1,2.48,1265.842742
jackson_mill,offsite 2,2.48,1001.758065
jackson_mill,offsite 2,2.54,916.6535433
jackson_mill,offsite 2,2.51,909.3227092
jackson_mill,offsite 3,2.47,1069.17085
jackson_mill,offsite 3,2.45,1060.912653
jackson_mill,offsite 3,2.52,1023.185714
reedsville,1,2.52,978.7428571
reedsville,1,2.48,1103.037097
reedsville,1,2.48,1020.570968
reedsville,2,2.49,824.7180723
reedsville,2,2.5,831.3984
reedsville,2,2.48,915.2274194
reedsville,3,2.48,855.3483871
reedsville,3,2.54,950.6267717
reedsville,3,2.48,927.1596774
reedsville,4,2.52,875.0285714
reedsville,4,2.5,873.648
reedsville,4,2.46,943.2146341
reedsville,5,2.47,877.4963563
reedsville,5,2.5,966.6864
reedsville,5,2.54,896.4992126
reedsville,6,2.53,760.2545455
reedsville,6,2.46,746.5243902
reedsville,6,2.49,698.7108434
reedsville,7,2.55,866.4
reedsville,7,2.53,961.3992095
reedsville,7,2.55,949.6941176
reedsville,8,2.45,670.5918367
reedsville,8,2.51,620.885259
reedsville,8,2.53,599.2719368
reedsville,9,2.49,770.0674699
reedsville,9,2.49,800.3277108
reedsville,9,2.52,752.3571429
reedsville,10,2.48,806.8064516
reedsville,10,2.49,770.0240964
reedsville,10,2.51,867.87251
reedsville,11,2.45,958.6726531
reedsville,11,2.49,815.1686747
reedsville,11,2.51,901.0972112
reedsville,12,2.5,1048.0176
reedsville,12,2.47,1064.958704
reedsville,12,2.48,964.1758065
reedsville,13,2.49,856.2795181
reedsville,13,2.47,890.6574899
reedsville,13,2.51,907.3290837
reedsville,14,2.46,800.6341463
reedsville,14,2.5,871.344
reedsville,14,2.46,983.1219512
reedsville,15,2.48,1079.259677
reedsville,15,2.5,495.4608
reedsville,15,2.5,1029.5424
reedsville,16,2.51,675.6812749
reedsville,16,2.47,666.4226721
reedsville,16,2.53,699.9225296
reedsville,17,2.46,769.0097561
reedsville,17,2.51,753.6908367
reedsville,17,2.47,723.7748988
reedsville,18,2.47,978.4275304
reedsville,18,2.45,921.2914286
reedsville,18,2.55,924.2682353
reedsville,19,2.45,792.9697959
reedsville,19,2.48,904.2024194
reedsville,19,2.52,525.4571429
reedsville,20,2.52,991.5571429
reedsville,20,2.46,884.4731707
reedsville,20,2.53,987.6379447
reedsville,21,2.46,656.3414634
reedsville,21,2.53,700.0790514
reedsville,21,2.54,668.5511811
reedsville,22,2.47,1046.769231
reedsville,22,2.49,958.6987952
reedsville,22,2.52,1063.285714
reedsville,23,2.46,590.5536585
reedsville,23,2.49,681.0361446
reedsville,23,2.49,681.0361446
reedsville,24,2.53,1052.039526
reedsville,24,2.51,1089.43745
reedsville,24,2.46,1098.892683
