"site","plot","crop","treatment","poxc","date"
"agronomy_farm",1,"W","C",571.939828833333,2021-06-01
"agronomy_farm",2,"W","B",1514.57302333333,2021-06-01
"agronomy_farm",4,"S","B",545.439794633333,2021-06-01
"agronomy_farm",5,"S","C",426.444757983333,2021-06-01
"agronomy_farm",6,"S","C",751.539009466667,2021-06-01
"agronomy_farm",7,"W","B",559.725542266667,2021-06-01
"agronomy_farm",8,"W","C",759.7842901,2021-06-01
"agronomy_farm",9,"W","C",918.082379666667,2021-06-01
"agronomy_farm",10,"S","C",981.569000733333,2021-06-01
"agronomy_farm",11,"S","B",961.592603966667,2021-06-01
"agronomy_farm",12,"S","C",855.443333333333,2021-06-01
"agronomy_farm",13,"S","C",1122.89013,2021-06-01
"agronomy_farm",14,"S","C",564.559541366667,2021-06-01
"agronomy_farm",15,"S","B",930.5491633,2021-06-01
"agronomy_farm",16,"W","B",607.044545133333,2021-06-01
"agronomy_farm",17,"W","C",665.846236566667,2021-06-01
"agronomy_farm",18,"W","C",653.508393366667,2021-06-01
"agronomy_farm",19,"S","C",664.778374933333,2021-06-01
"agronomy_farm",20,"S","C",451.3723147,2021-06-01
"agronomy_farm",21,"S","B",898.291960433333,2021-06-01
"agronomy_farm",22,"W","C",906.011448883333,2021-06-01
"agronomy_farm",23,"W","B",488.3807805,2021-06-01
"agronomy_farm",24,"W","C",958.632461066667,2021-06-01
"allstar_mine_1",1,"W","C",1241.18179866667,2021-06-01
"allstar_mine_1",2,"W","C",1143.52221133333,2021-06-01
"allstar_mine_1",3,"W","B",950.80945536,2021-06-01
"allstar_mine_1",4,"S","C",1706.58832133333,2021-06-01
"allstar_mine_1",5,"S","B",1356.084776,2021-06-01
"allstar_mine_1",6,"S","C",1278.07803866667,2021-06-01
"allstar_mine_1",7,"W","B",811.932682766667,2021-06-01
"allstar_mine_1",8,"W","C",1162.049349,2021-06-01
"allstar_mine_1",9,"W","C",1289.73453966667,2021-06-01
"allstar_mine_1",10,"S","C",998.899349733333,2021-06-01
"allstar_mine_1",11,"S","C",1337.04736833333,2021-06-01
"allstar_mine_1",12,"S","B",1076.9449563,2021-06-01
"allstar_mine_1",13,"W","B",638.46185756,2021-06-01
"allstar_mine_1",14,"W","C",1326.45367633333,2021-06-01
"allstar_mine_1",15,"W","C",987.999023333333,2021-06-01
"allstar_mine_1",16,"S","C",1456.17301,2021-06-01
"allstar_mine_1",17,"S","B",641.736644133333,2021-06-01
"allstar_mine_1",18,"S","C",858.895836833333,2021-06-01
"allstar_mine_1",19,"W","B",699.014396266667,2021-06-01
"allstar_mine_1",20,"W","C",663.7944664,2021-06-01
"allstar_mine_1",21,"W","C",683.59058825,2021-06-01
"allstar_mine_1",22,"S","C",1069.150257,2021-06-01
"allstar_mine_1",23,"S","B",1109.893776,2021-06-01
"allstar_mine_1",24,"S","C",1121.03252866667,2021-06-01
"allstar_mine_2",1,"W","C",996.2418246,2021-06-01
"allstar_mine_2",2,"W","B",479.2128445,2021-06-01
"allstar_mine_2",3,"W","C",1549.028751,2021-06-01
"allstar_mine_2",4,"S","B",1445.67877533333,2021-06-01
"allstar_mine_2",5,"S","C",1113.30333333333,2021-06-01
"allstar_mine_2",6,"S","C",1111.500901,2021-06-01
"allstar_mine_2",7,"W","C",762.209431266667,2021-06-01
"allstar_mine_2",8,"W","B",1150.05575333333,2021-06-01
"allstar_mine_2",9,"W","C",1646.58321,2021-06-01
"allstar_mine_2",10,"S","B",851.831301233333,2021-06-01
"allstar_mine_2",11,"S","C",733.851528333333,2021-06-01
"allstar_mine_2",12,"S","C",382.74714405,2021-06-01
"allstar_mine_2",13,"S","C",1282.1096634,2021-06-01
"allstar_mine_2",14,"S","C",744.7159742,2021-06-01
"allstar_mine_2",15,"S","B",883.368134966667,2021-06-01
"allstar_mine_2",16,"W","B",655.0502972,2021-06-01
"allstar_mine_2",17,"W","C",633.9073742,2021-06-01
"allstar_mine_2",18,"W","C",419.134757566667,2021-06-01
"goshen_road",1,"S","C",415.0815238,2021-06-01
"goshen_road",2,"S","B",473.2411219,2021-06-01
"goshen_road",3,"S","C",671.958413766667,2021-06-01
"goshen_road",4,"W","C",904.5340893,2021-06-01
"goshen_road",5,"W","B",451.7379342,2021-06-01
"goshen_road",6,"W","C",1072.510226,2021-06-01
"goshen_road",7,"W","B",647.305931233333,2021-06-01
"goshen_road",8,"W","C",1132.07079966667,2021-06-01
"goshen_road",9,"W","C",1034.25,2021-06-01
"goshen_road",10,"S","C",615.920047966667,2021-06-01
"goshen_road",11,"S","B",876.588207633333,2021-06-01
"goshen_road",12,"S","C",905.847531966667,2021-06-01
"goshen_road",14,"S","B",1175.807028,2021-06-01
"goshen_road",15,"S","C",579.841006466667,2021-06-01
"goshen_road",16,"W","C",835.241456133333,2021-06-01
"goshen_road",17,"W","B",1213.674716,2021-06-01
"goshen_road",18,"W","C",762.695636366667,2021-06-01
"goshen_road",19,"S","C",1248.82723566667,2021-06-01
"goshen_road",20,"S","C",763.045616333333,2021-06-01
"goshen_road",21,"S","B",1388.67520333333,2021-06-01
"goshen_road",22,"W","B",801.055536433333,2021-06-01
"goshen_road",23,"W","C",88.43932174,2021-06-01
"goshen_road",24,"W","C",419.1158436,2021-06-01
"jackson_mill",1,"W","B",810.526142533333,2021-06-01
"jackson_mill",2,"W","C",1055.74603966667,2021-06-01
"jackson_mill",3,"W","C",1407.116155,2021-06-01
"jackson_mill",4,"S","C",1181.883333,2021-06-01
"jackson_mill",5,"S","B",895.933691333333,2021-06-01
"jackson_mill",6,"S","C",1145.29509633333,2021-06-01
"jackson_mill",7,"S","B",1252.84984666667,2021-06-01
"jackson_mill",8,"S","C",588.941790466667,2021-06-01
"jackson_mill",9,"S","C",579.897849366667,2021-06-01
"jackson_mill",10,"W","C",1028.00828243333,2021-06-01
"jackson_mill",11,"W","C",1090.39394166667,2021-06-01
"jackson_mill",12,"W","B",834.2745216,2021-06-01
"jackson_mill",13,"S","B",1345.66372866667,2021-06-01
"jackson_mill",14,"S","C",1174.54874555,2021-06-01
"jackson_mill",15,"S","C",907.018369833333,2021-06-01
"jackson_mill",16,"W","B",1275.54947633333,2021-06-01
"jackson_mill",17,"W","C",1105.85666666667,2021-06-01
"jackson_mill",19,"W","C",1241.809983,2021-06-01
"jackson_mill",20,"W","B",1189.38491933333,2021-06-01
"jackson_mill",21,"W","C",1136.41325633333,2021-06-01
"jackson_mill",22,"S","C",1391.67825866667,2021-06-01
"jackson_mill",23,"S","C",919.530260966667,2021-06-01
"jackson_mill",24,"S","B",1408.616554,2021-06-01
"reedsville",1,"S","C",951.964,2021-06-01
"reedsville",2,"S","C",585.95378485,2021-06-01
"reedsville",3,"S","B",832.2936052,2021-06-01
"reedsville",4,"W","C",899.1229374,2021-06-01
"reedsville",5,"W","B",1303.96178133333,2021-06-01
"reedsville",6,"W","C",825.605137033333,2021-06-01
"reedsville",7,"S","B",679.264260033333,2021-06-01
"reedsville",8,"S","C",777.2011549,2021-06-01
"reedsville",9,"S","C",965.664961566667,2021-06-01
"reedsville",10,"W","B",1319.24952966667,2021-06-01
"reedsville",11,"W","C",1267.60183866667,2021-06-01
"reedsville",12,"W","C",865.343547966667,2021-06-01
"reedsville",13,"W","C",1315.7020305,2021-06-01
"reedsville",14,"W","B",753.061215966667,2021-06-01
"reedsville",15,"W","C",849.956666666667,2021-06-01
"reedsville",16,"S","C",1136.85183466667,2021-06-01
"reedsville",17,"S","C",839.466612533333,2021-06-01
"reedsville",18,"S","B",1159.65666666667,2021-06-01
"reedsville",19,"W","C",1037.56190833333,2021-06-01
"reedsville",20,"W","C",883.9317418,2021-06-01
"reedsville",21,"W","B",1210.524038,2021-06-01
"reedsville",22,"S","B",1016.3497628,2021-06-01
"reedsville",23,"S","C",808.13405075,2021-06-01
