"site","plot","mass_soil","plot_no","max(co2_int)","crop","treatment","mol_co2","c_g_hr","resp","mean","two.sd","zscore"
"agronomy_farm",1,5.94,73,4631,"W","F",9.1102229569898e-05,1.51837049283163e-05,2.55617928086134,0.871211330424281,2.25944822033352,1.49148622683492
"agronomy_farm",10,5.76,82,685,"S","F",1.34754971400087e-05,2.24591619000144e-06,0.389916005208584,0.294246372897268,0.155206762571125,1.23280236925856
"agronomy_farm",11,5.35,83,815,"S","B",1.60328907578205e-05,2.67214845963675e-06,0.499467001801263,0.371228475921134,0.197867534460211,1.29620583012739
"agronomy_farm",12,5.27,84,805,"S","C",1.5836168171835e-05,2.6393613619725e-06,0.500827582916983,0.402551592958667,0.278403066559066,0.705997898463991
"agronomy_farm",13,5.55,85,495,"S","C",9.73776800628364e-06,1.62296133438061e-06,0.292425465654163,0.402551592958667,0.278403066559066,0.791127257796494
"agronomy_farm",14,5.68,86,519,"S","F",1.02099022126489e-05,1.70165036877482e-06,0.299586332530778,0.294246372897268,0.155206762571125,0.0688109144865758
"agronomy_farm",15,5.34,87,628,"S","B",1.23541783998912e-05,2.05902973331519e-06,0.385586092381122,0.371228475921134,0.197867534460211,0.145123519117541
"agronomy_farm",16,5.49,88,504,"W","B",9.91481833367061e-06,1.65246972227843e-06,0.300996306425944,0.621000535522074,1.36487000967,0.468915320622364
"agronomy_farm",17,6.15,89,343,"W","F",6.74758469930361e-06,1.12459744988393e-06,0.182861373964867,0.871211330424281,2.25944822033352,0.609308016235757
"agronomy_farm",18,5.65,90,450,"W","C",8.85251636934876e-06,1.47541939489146e-06,0.261136176086984,0.406800387846815,0.55767739828892,0.522395966581258
"agronomy_farm",19,5.96,91,364,"S","F",7.16070212987322e-06,1.19345035497887e-06,0.200243348150817,0.294246372897268,0.155206762571125,1.21132640342746
"agronomy_farm",2,5.17,74,2591,"W","B",5.09708220288503e-05,8.49513700480838e-06,1.64315996224534,0.621000535522074,1.36487000967,1.49781212786762
"agronomy_farm",20,5.7,92,476,"S","C",9.36399509291113e-06,1.56066584881852e-06,0.273801026108513,0.402551592958667,0.278403066559066,0.924922045158861
"agronomy_farm",21,5.36,93,432,"S","B",8.49841571457481e-06,1.4164026190958e-06,0.26425421998056,0.371228475921134,0.197867534460211,1.08127142972093
"agronomy_farm",22,5.63,94,393,"W","C",7.73119762923125e-06,1.28853293820521e-06,0.228869083162559,0.406800387846815,0.55767739828892,0.638115531417228
"agronomy_farm",23,5.94,95,414,"W","B",8.14431505980086e-06,1.35738584330014e-06,0.228516135235714,0.621000535522074,1.36487000967,0.575123487959492
"agronomy_farm",24,6.05,96,507,"W","F",9.97383510946627e-06,1.66230585157771e-06,0.27476129778144,0.871211330424281,2.25944822033352,0.527960789076901
"agronomy_farm",3,5.12,75,1283,"W","C",2.52395077819432e-05,4.20658463032387e-06,0.821598560610132,0.406800387846815,0.55767739828892,1.4875918372737
"agronomy_farm",4,5.51,76,564,"S","B",1.10951538495838e-05,1.84919230826396e-06,0.33560658952159,0.371228475921134,0.197867534460211,0.360057919524
"agronomy_farm",5,5.81,77,509,"S","F",1.00131796266634e-05,1.66886327111056e-06,0.287239805698892,0.294246372897268,0.155206762571125,0.0902868803176653
"agronomy_farm",6,5.3,78,878,"S","C",1.72722430495294e-05,2.87870717492156e-06,0.543152297155011,0.402551592958667,0.278403066559066,1.01005140449136
"agronomy_farm",7,5.55,79,527,"W","B",1.03672802814373e-05,1.72788004690622e-06,0.311329738181301,0.621000535522074,1.36487000967,0.45377331928576
"agronomy_farm",8,5.61,80,540,"W","C",1.06230196432185e-05,1.77050327386975e-06,0.315597731527585,0.406800387846815,0.55767739828892,0.327080339275216
"agronomy_farm",9,5.29,81,760,"W","F",1.49509165349001e-05,2.49181942248335e-06,0.471043369089481,0.871211330424281,2.25944822033352,0.354217421522261
"allstar_mine_1",1,5.26,1,755,"W","F",1.48525552419074e-05,2.47542587365123e-06,0.470613283964112,0.343169566596955,0.196176774341272,1.299274267253
"allstar_mine_1",10,5.53,10,508,"S","F",9.99350736806482e-06,1.66558456134414e-06,0.301190698253913,0.361140517224601,0.137457911391266,0.872264366072676
"allstar_mine_1",11,5.24,11,739,"S","C",1.45377991043305e-05,2.42296651738842e-06,0.462398190341301,0.408285730645993,0.159727023354004,0.677561737006498
"allstar_mine_1",12,5.56,12,592,"S","B",1.16459770903433e-05,1.94099618172388e-06,0.34910003268415,0.43186612308151,0.352169469962711,0.470035579212035
"allstar_mine_1",13,5.95,13,353,"W","B",6.94430728528914e-06,1.15738454754819e-06,0.194518411352637,0.304829846185577,0.203116543010228,1.08618858117711
"allstar_mine_1",14,5.57,14,475,"W","F",9.34432283431258e-06,1.5573871390521e-06,0.279602717962674,0.343169566596955,0.196176774341272,0.648056823726734
"allstar_mine_1",15,5.22,15,389,"W","C",7.65250859483704e-06,1.27541809913951e-06,0.244332969183814,0.459529440739252,0.693056073038655,0.621007390100268
"allstar_mine_1",16,5.17,16,667,"S","F",1.31213964852347e-05,2.18689941420579e-06,0.422997952457599,0.361140517224601,0.137457911391266,0.900020007679652
"allstar_mine_1",17,5.84,17,462,"S","B",9.08858347253139e-06,1.51476391208857e-06,0.259377382206946,0.43186612308151,0.352169469962711,0.979578047426013
"allstar_mine_1",18,5.4,18,594,"S","C",1.16853216075404e-05,1.94755360125673e-06,0.360658074306801,0.408285730645993,0.159727023354004,0.596363161838114
"allstar_mine_1",19,5.57,19,597,"W","B",1.1744338383336e-05,1.957389730556e-06,0.351416468681509,0.304829846185577,0.203116543010228,0.458718150727742
"allstar_mine_1",2,4.2,2,1251,"W","C",2.46099955067896e-05,4.10166591779826e-06,0.9765871232853,0.459529440739252,0.693056073038655,1.49210923231376
"allstar_mine_1",20,5.81,20,587,"W","C",1.15476157973505e-05,1.92460263289175e-06,0.331256907554518,0.459529440739252,0.693056073038655,0.370164949633388
"allstar_mine_1",21,5.66,21,636,"W","F",1.25115564686796e-05,2.0852594114466e-06,0.368420390714946,0.343169566596955,0.196176774341272,0.257429292563094
"allstar_mine_1",22,5.25,22,515,"S","C",1.01312131782547e-05,1.68853552970912e-06,0.321625815182689,0.408285730645993,0.159727023354004,1.08510023718704
"allstar_mine_1",23,4.9,23,673,"S","B",1.3239430036826e-05,2.20657167280434e-06,0.450320749551906,0.43186612308151,0.352169469962711,0.104805373801143
"allstar_mine_1",24,5.44,24,694,"S","F",1.36525474673956e-05,2.27542457789927e-06,0.418276576819719,0.361140517224601,0.137457911391266,0.831324425299669
"allstar_mine_1",3,5.57,3,717,"W","B",1.41050094151624e-05,2.35083490252706e-06,0.422052944798395,0.304829846185577,0.203116543010228,1.15424471956393
"allstar_mine_1",4,4.9,4,730,"S","C",1.43607487769435e-05,2.39345812949059e-06,0.488460842753182,0.408285730645993,0.159727023354004,1.00390166201865
"allstar_mine_1",5,4.82,5,983,"S","B",1.93378302023774e-05,3.22297170039623e-06,0.668666327883036,0.43186612308151,0.352169469962711,1.3448082528369
"allstar_mine_1",6,5.47,6,504,"S","F",9.91481833367061e-06,1.65246972227843e-06,0.302096841367173,0.361140517224601,0.137457911391266,0.859080066906646
"allstar_mine_1",7,6.04,7,463,"W","B",9.10825573112995e-06,1.51804262185499e-06,0.251331559909767,0.304829846185577,0.203116543010228,0.526774289114562
"allstar_mine_1",8,5.63,8,491,"W","C",9.65907897188942e-06,1.6098464953149e-06,0.285940762933376,0.459529440739252,0.693056073038655,0.500936892580102
"allstar_mine_1",9,5.64,9,437,"W","F",8.59677700756757e-06,1.43279616792793e-06,0.254041873746087,0.343169566596955,0.196176774341272,0.908646736089363
"allstar_mine_2",1,5.78,25,586,"W","F",1.15279435387519e-05,1.92132392312532e-06,0.332408983239675,0.309676603464295,0.255114950930158,0.178212838506701
"allstar_mine_2",10,5.36,34,810,"S","B",1.59345294648278e-05,2.65575491080463e-06,0.49547666246355,0.451977624891755,0.12949244104598,0.671839023504848
"allstar_mine_2",11,5.8,35,525,"S","F",1.03279357642402e-05,1.72132262737337e-06,0.296779763340236,0.307557350664634,0.036243362646035,0.594734403077086
"allstar_mine_2",12,6.11,36,287,"S","C",5.64593821778465e-06,9.40989702964109e-07,0.154008134691344,0.301393410035751,0.258518769847805,1.14022881534812
"allstar_mine_2",13,5.14,37,620,"S","C",1.21968003311027e-05,2.03280005518379e-06,0.395486392059103,0.301393410035751,0.258518769847805,0.727939267843076
"allstar_mine_2",14,5.49,38,498,"S","F",9.79678478207929e-06,1.63279746367988e-06,0.297413017063731,0.307557350664634,0.036243362646035,0.559789868284372
"allstar_mine_2",15,4.75,39,547,"S","B",1.07607254534084e-05,1.79345424223473e-06,0.37756931415468,0.451977624891755,0.12949244104598,1.14923018109842
"allstar_mine_2",16,5.44,40,450,"W","B",8.85251636934876e-06,1.47541939489146e-06,0.271216800531518,0.331662051728912,0.154919921689065,0.780341876478763
"allstar_mine_2",17,5.32,41,423,"W","C",8.32136538718783e-06,1.38689423119797e-06,0.260694404360521,0.367165048200925,0.200022930330827,1.06458438204367
"allstar_mine_2",18,5.5,42,289,"W","F",5.68528273498176e-06,9.4754712249696e-07,0.172281294999447,0.309676603464295,0.255114950930158,1.07712470761827
"allstar_mine_2",2,5.54,26,515,"W","B",1.01312131782547e-05,1.68853552970912e-06,0.3047898068067,0.331662051728912,0.154919921689065,0.346917873818027
"allstar_mine_2",3,5.79,27,674,"W","C",1.32591022954246e-05,2.20985038257076e-06,0.381666732741065,0.367165048200925,0.200022930330827,0.145000220886224
"allstar_mine_2",4,5.33,28,785,"S","B",1.54427229998639e-05,2.57378716664399e-06,0.482886898057034,0.451977624891755,0.12949244104598,0.477391157593576
"allstar_mine_2",5,5.39,29,540,"S","F",1.06230196432185e-05,1.77050327386975e-06,0.328479271589935,0.307557350664634,0.036243362646035,1.15452427136146
"allstar_mine_2",6,5.38,30,582,"S","C",1.14492545043577e-05,1.90820908405962e-06,0.354685703356807,0.301393410035751,0.258518769847805,0.412289547505043
"allstar_mine_2",7,5.72,31,801,"W","C",1.57574791374408e-05,2.6262465229068e-06,0.459134007501189,0.367165048200925,0.200022930330827,0.919584161157446
"allstar_mine_2",8,5.47,32,699,"W","B",1.37509087603884e-05,2.2918181267314e-06,0.418979547848519,0.331662051728912,0.154919921689065,1.12725975029679
"allstar_mine_2",9,5.37,33,695,"W","F",1.36722197259942e-05,2.2787032876657e-06,0.424339532153761,0.309676603464295,0.255114950930158,0.898911869111565
"jackson_mill",1,4.84,121,719,"W","B",1.41443539323595e-05,2.35739232205991e-06,0.487064529351221,0.4904161351258,0.157129471042516,0.0426604347655628
"jackson_mill",10,4.96,130,849,"W","F",1.67017475501713e-05,2.78362459169522e-06,0.561214635422424,0.523474557271913,0.0796641360151449,0.947479757850776
"jackson_mill",11,5.11,131,808,"W","C",1.58951849476307e-05,2.64919749127178e-06,0.518433951325201,0.43457844151577,0.254344588876396,0.659385050650184
"jackson_mill",12,5,132,715,"W","B",1.40656648979653e-05,2.34427748299421e-06,0.468855496598842,0.4904161351258,0.157129471042516,0.274431503955409
"jackson_mill",13,5.04,133,859,"S","B",1.68984701361569e-05,2.81641168935948e-06,0.55881184312688,0.637034781046022,0.206155457556352,0.758873316732452
"jackson_mill",14,5.03,134,743,"S","F",1.46164881387247e-05,2.43608135645412e-06,0.484310408837797,0.493633240061333,0.183457905787813,0.101634554079328
"jackson_mill",15,5.15,135,923,"S","C",1.81574946864642e-05,3.02624911441071e-06,0.587621187264215,0.540205928629268,0.606405859574615,0.156381268044501
"jackson_mill",16,5.11,136,637,"W","B",1.25312287272781e-05,2.08853812121302e-06,0.408715874992764,0.4904161351258,0.157129471042516,1.03991007658811
"jackson_mill",17,5.01,137,840,"W","F",1.65246972227844e-05,2.75411620379739e-06,0.549723793173132,0.523474557271913,0.0796641360151449,0.658997566890793
"jackson_mill",18,5.25,138,396,"W","C",7.79021440502691e-06,1.29836906750448e-06,0.247308393810378,0.43457844151577,0.254344588876396,1.47256954459055
"jackson_mill",19,5.02,139,779,"W","F",1.53246894482726e-05,2.55411490804544e-06,0.508787830287936,0.523474557271913,0.0796641360151449,0.368716155565539
"jackson_mill",2,5.02,122,726,"W","F",1.42820597425493e-05,2.38034329042489e-06,0.474171970204161,0.523474557271913,0.0796641360151449,1.23776116917603
"jackson_mill",20,4.97,140,905,"W","B",1.78033940316903e-05,2.96723233861505e-06,0.597028639560372,0.4904161351258,0.157129471042516,1.35700201530908
"jackson_mill",21,4.75,141,738,"W","C",1.4518126845732e-05,2.41968780762199e-06,0.509407959499367,0.43457844151577,0.254344588876396,0.588410536384264
"jackson_mill",22,5.11,142,348,"S","C",6.84594599229637e-06,1.14099099871606e-06,0.223285909729171,0.540205928629268,0.606405859574615,1.04524062192411
"jackson_mill",23,4.7,143,790,"S","F",1.55410842928567e-05,2.59018071547612e-06,0.551102279888536,0.493633240061333,0.183457905787813,0.626509275579226
"jackson_mill",24,4.97,144,816,"S","B",1.60525630164191e-05,2.67542716940318e-06,0.53831532583565,0.637034781046022,0.206155457556352,0.957718571999364
"jackson_mill",3,5.38,123,760,"W","C",1.49509165349001e-05,2.49181942248335e-06,0.463163461428133,0.43457844151577,0.254344588876396,0.224773957556098
"jackson_mill",4,4.93,124,859,"S","F",1.68984701361569e-05,2.81641168935948e-06,0.571280261533362,0.493633240061333,0.183457905787813,0.84648324244838
"jackson_mill",5,4.94,125,1073,"S","B",2.11083334762472e-05,3.51805557937453e-06,0.712156999873386,0.637034781046022,0.206155457556352,0.728791948734406
"jackson_mill",6,4.87,126,1391,"S","C",2.73641117105869e-05,4.56068528509782e-06,0.936485684825015,0.540205928629268,0.606405859574615,1.3069786511421
"jackson_mill",7,5.01,127,1129,"S","B",2.22099799577661e-05,3.70166332629435e-06,0.738854955348174,0.637034781046022,0.206155457556352,0.987799939997413
"jackson_mill",8,5.02,128,633,"S","C",1.24525396928839e-05,2.07542328214732e-06,0.413430932698669,0.540205928629268,0.606405859574615,0.418119297262493
"jackson_mill",9,5.25,129,589,"S","F",1.15869603145476e-05,1.9311600524246e-06,0.367840009985638,0.493633240061333,0.183457905787813,1.37135796394828
"goshen_road",1,5.23,49,620,"S","C",1.21968003311027e-05,2.03280005518379e-06,0.388680698887914,5.63035612386032,7.54691645988742,1.38909061809082
"goshen_road",10,4.76,58,10206,"S","F",0.00020077507125683,3.34625118761383e-05,7.02993946977695,5.10745062981124,7.98737700114937,0.481381770182895
"goshen_road",11,4.6,59,9738,"S","B",0.000191568454232707,3.19280757054512e-05,6.94088602292417,6.00978700884855,7.53924145542307,0.24700071474853
"goshen_road",12,4.74,60,9639,"S","C",0.00018962090063145,3.16034834385751e-05,6.66740156931963,5.63035612386032,7.54691645988742,0.274826268707573
"goshen_road",13,4.63,61,8615,"S","C",0.000169476507826532,2.82460846377554e-05,6.10066622845689,5.63035612386032,7.54691645988742,0.124636361644206
"goshen_road",14,4.66,62,10967,"S","B",0.000215745660050329,3.59576100083881e-05,7.71622532368843,6.00978700884855,7.53924145542307,0.452681698796745
"goshen_road",15,3.67,63,10633,"S","F",0.000209175125678412,3.4862520946402e-05,9.4993245085564,5.10745062981124,7.98737700114937,1.09970366444783
"goshen_road",16,5.34,64,3510,"W","F",6.90496276809203e-05,1.15082712801534e-05,2.15510698130213,2.79565541158415,6.39322031576891,0.200383656012012
"goshen_road",17,4.85,65,6951,"W","B",0.00013674186951854,2.27903115864234e-05,4.69903331678833,3.31041148802496,5.62363784616174,0.493851797270743
"goshen_road",18,5.31,66,2950,"W","C",5.80331628657308e-05,9.67219381095513e-06,1.82150542579193,3.10937702918235,4.53618136403611,0.567821918938677
"goshen_road",19,4.43,67,12653,"S","C",0.000248913088047489,4.14855146745814e-05,9.36467599877684,5.63035612386032,7.54691645988742,0.989627987739043
"goshen_road",2,5.45,50,807,"S","B",1.58755126890321e-05,2.64591878150535e-06,0.485489684679881,6.00978700884855,7.53924145542307,1.4654782863321
"goshen_road",20,5.23,68,5615,"S","F",0.000110459732030874,1.8409955338479e-05,3.5200679423478,5.10745062981124,7.98737700114937,0.397472834257109
"goshen_road",21,4.17,69,11315,"S","B",0.000222591606042625,3.70986010071042e-05,8.89654700410171,6.00978700884855,7.53924145542307,0.765795872786826
"goshen_road",22,4.29,70,8628,"W","B",0.000169732247188314,2.82887078647189e-05,6.59410439737038,3.31041148802496,5.62363784616174,1.16781805627353
"goshen_road",23,5.61,71,1949,"W","F",3.83412320085794e-05,6.39020533476323e-06,1.13907403471715,2.79565541158415,6.39322031576891,0.518230655302472
"goshen_road",24,4.89,72,6924,"W","C",0.00013621071853638,2.27017864227299e-05,4.64249211098772,3.10937702918235,4.53618136403611,0.675949640797105
"goshen_road",3,5.61,51,651,"S","F",1.28066403476579e-05,2.13444005794298e-06,0.380470598563811,5.10745062981124,7.98737700114937,1.18361260037362
"goshen_road",4,5.29,52,968,"W","C",1.90427463233991e-05,3.17379105389985e-06,0.599960501682392,3.10937702918235,4.53618136403611,1.10640043953938
"goshen_road",5,5.12,53,1185,"W","B",2.33116264392851e-05,3.88527107321418e-06,0.758842006487144,3.31041148802496,5.62363784616174,0.907444451914456
"goshen_road",6,5.61,54,716,"W","F",1.40853371565638e-05,2.34755619276063e-06,0.418459214395835,2.79565541158415,6.39322031576891,0.74366159142833
"goshen_road",7,5.06,55,1836,"W","B",3.61182667869429e-05,6.01971113115716e-06,1.18966623145398,3.31041148802496,5.62363784616174,0.754225401629813
"goshen_road",8,5.01,56,8211,"W","C",0.000161528915352717,2.69214858921195e-05,5.37355007826737,3.10937702918235,4.53618136403611,0.998272717680956
"goshen_road",9,4.43,57,10093,"W","F",0.000198552106035193,3.30920176725322e-05,7.4699814159215,2.79565541158415,6.39322031576891,1.46227590274281
"reedsville",1,5.24,97,479,"S","C",9.42301186870679e-06,1.5705019781178e-06,0.299714117961412,0.42019403448365,0.409328145645331,0.588671547773947
"reedsville",10,5.28,106,806,"W","B",1.58558404304336e-05,2.64264007173893e-06,0.500500013586918,0.300719524311809,0.302399511938069,1.32130166477268
"reedsville",11,8.2,107,585,"W","F",1.15082712801534e-05,1.9180452133589e-06,0.233907952848646,0.2474305825055,0.115007981826607,0.235159846161659
"reedsville",12,7.63,108,526,"W","C",1.03476080228388e-05,1.7246013371398e-06,0.226029008799449,0.228635741080209,0.133184509060355,0.039144676796894
"reedsville",13,5.1,109,288,"W","F",5.66561047638321e-06,9.44268412730534e-07,0.18515066916285,0.2474305825055,0.115007981826607,1.08305375598273
"reedsville",14,5.24,110,214,"W","B",4.2098633400903e-06,7.0164389001505e-07,0.133901505728063,0.300719524311809,0.302399511938069,1.10329555437848
"reedsville",15,5.17,111,216,"W","C",4.2492078572874e-06,7.08201309547901e-07,0.136982845173675,0.228635741080209,0.133184509060355,1.37632967307031
"reedsville",16,5.72,112,700,"S","C",1.3770581018987e-05,2.29509683649783e-06,0.401240705681438,0.42019403448365,0.409328145645331,0.092607014708607
"reedsville",17,5.11,113,603,"S","F",1.18623719349273e-05,1.97706198915456e-06,0.386900584961753,0.374508024664339,0.14840273390955,0.167012560630685
"reedsville",18,5.15,114,471,"S","B",9.26563379991837e-06,1.54427229998639e-06,0.299858699026484,0.304482167315535,0.0714245412216279,0.12946441685089
"reedsville",19,5.17,115,389,"W","F",7.65250859483704e-06,1.27541809913951e-06,0.246695957280369,0.2474305825055,0.115007981826607,0.0127752041808507
"reedsville",2,6,98,487,"S","F",9.58038993749521e-06,1.5967316562492e-06,0.2661219427082,0.374508024664339,0.14840273390955,1.46070195744775
"reedsville",20,6.15,116,489,"W","C",9.61973445469232e-06,1.60328907578205e-06,0.260697410696269,0.228635741080209,0.133184509060355,0.481462443977326
"reedsville",21,5.12,117,463,"W","B",9.10825573112995e-06,1.51804262185499e-06,0.296492699581053,0.300719524311809,0.302399511938069,0.0279552351369007
"reedsville",22,6.59,118,514,"S","B",1.01115409196561e-05,1.68525681994269e-06,0.255729411220439,0.304482167315535,0.0714245412216279,1.3651541966176
"reedsville",23,5.32,119,689,"S","F",1.35541861744029e-05,2.25903102906715e-06,0.424629892681794,0.374508024664339,0.14840273390955,0.675484429390697
"reedsville",24,5.06,120,1103,"S","C",2.16985012342037e-05,3.61641687236729e-06,0.714706891772192,0.42019403448365,0.409328145645331,1.43900613931262
"reedsville",3,4.92,99,495,"S","B",9.73776800628364e-06,1.62296133438061e-06,0.329870189914757,0.304482167315535,0.0714245412216279,0.710904744083537
"reedsville",4,5.04,100,498,"W","F",9.79678478207929e-06,1.63279746367988e-06,0.323967750730135,0.2474305825055,0.115007981826607,1.33098880632524
"reedsville",5,5.28,101,438,"W","B",8.61644926616613e-06,1.43607487769435e-06,0.271983878351203,0.300719524311809,0.302399511938069,0.190050875257304
"reedsville",6,5.4,102,479,"W","C",9.42301186870679e-06,1.5705019781178e-06,0.290833699651444,0.228635741080209,0.133184509060355,0.934011905889874
"reedsville",7,4.99,103,506,"S","B",9.95416285086772e-06,1.65902714181129e-06,0.332470369100458,0.304482167315535,0.0714245412216279,0.783713869384953
"reedsville",8,5.21,104,668,"S","F",1.31410687438333e-05,2.19017812397221e-06,0.420379678305607,0.374508024664339,0.14840273390955,0.618204967426363
"reedsville",9,5.12,105,414,"S","C",8.14431505980086e-06,1.35738584330014e-06,0.265114422519559,0.42019403448365,0.409328145645331,0.757727576830068
